"agno";"city";"dato"
"2018";"Antofagasta";45
"2018";"Arica";48,4
"2018";"Chillán";52,8
"2018";"Copiapo";45,4
"2018";"Coyhaique";55,9
"2018";"Gran Concepcion";53,5
"2018";"Gran Coquimbo";49,7
"2018";"Gran Santiago";48,1
"2018";"Iquique - Alto Hospicio";48,5
"2018";"Puerto Montt - Varas";54,3
"2018";"Punta Arenas";54,8
"2018";"Rancagua - Machalí";51,2
"2018";"Talca - Maule";54,7
"2018";"Temuco";54
"2018";"Valdivia";55,3
"2018";"Valparaíso Metropolitano";49,3
