"agno";"city";"dato"
"2014";"Antofagasta";49,9
"2014";"Arica";47,9
"2014";"Chillán";55,9
"2014";"Copiapo";49,5
"2014";"Coyhaique";55,2
"2014";"Gran Concepcion";52,9
"2014";"Gran Coquimbo";50,2
"2014";"Gran Santiago";49,7
"2014";"Iquique - Alto Hospicio";48,9
"2014";"Puerto Montt - Varas";50,3
"2014";"Punta Arenas";55,2
"2014";"Rancagua - Machalí";49,8
"2014";"Talca - Maule";52,5
"2014";"Temuco";53,4
"2014";"Valdivia";54,7
"2014";"Valparaíso Metropolitano";50,2
