"codcomuna","dato"
1101,48
1107,50.6
2101,49.9
3101,49.5
4101,50.5
4102,50
5101,51.9
5103,53.6
5109,50.8
5801,46.9
5804,48.7
6101,50.5
6108,46.6
7101,52.8
7105,47.8
8101,51.9
8102,51.4
8103,53.5
8106,55
8107,54.9
8108,51.8
8110,53.3
8111,53.3
8112,55.1
9101,54.4
9112,47.2
10101,50.4
10109,49.4
11101,55.2
12101,55.2
13101,48.5
13102,53.2
13103,48.1
13104,50.8
13105,51.4
13106,51.1
13107,50.2
13108,50.1
13109,48.9
13110,48.9
13111,49.8
13112,51.1
13113,50.9
13114,46.3
13115,47
13116,53.6
13117,51.3
13118,53.3
13119,50.9
13120,48.3
13121,47.6
13122,50.7
13123,45.3
13124,50.9
13125,47.3
13126,49.3
13127,48.5
13128,53
13129,53.5
13130,47.8
13131,48.5
13132,42.2
13201,50.1
13401,46.9
14101,54.7
15101,47.9
16101,57.5
16102,43.7
16103,53.9
16301,56.8
16305,37.1
