"codcomuna","dato"
1101,45.9
1107,51.2
2101,47.9
3101,53.8
4101,51.4
4102,48.5
5101,54.3
5103,55.2
5109,52.6
5801,45.9
5804,44.5
6101,49.5
6108,51.6
7101,55
7105,45.6
8101,51
8102,52
8103,53.7
8106,56.5
8107,54.8
8108,54.2
8110,52.2
8111,59.2
8112,54.7
9101,52.7
9112,47.2
10101,51.5
10109,52
11101,58.2
12101,53.8
13101,48
13102,56.7
13103,49.4
13104,50.7
13105,52.6
13106,52.8
13107,49.4
13108,46.6
13109,49.3
13110,52
13111,49.1
13112,50.1
13113,49.6
13114,47.2
13115,51.3
13116,49
13117,50.9
13118,49.5
13119,50.6
13120,45.8
13121,45.9
13122,49.9
13123,48.5
13124,50.1
13125,50
13126,48
13127,50.1
13128,51.1
13129,55
13130,50.3
13131,45.3
13132,40
13201,46.2
13401,48.7
14101,58.6
15101,47.6
16101,50.1
16102,56.1
16103,52.8
16301,57.6
16305,51.3
