"codcomuna","dato"
1101,44
1107,44.2
2101,43.2
3101,45.1
4101,45.3
4102,45
5101,45.7
5103,47.9
5109,46.9
5801,42.8
5804,44.6
6101,44.5
6108,42.7
7101,44.1
7105,33
8101,49.1
8102,49.5
8103,41.2
8106,44.7
8107,47.6
8108,49.8
8110,47.5
8111,44.9
8112,50
9101,47.2
9112,51.1
10101,48.8
10109,47.4
11101,51.1
12101,43.5
13101,42.8
13102,45.6
13103,45.9
13104,42.1
13105,47.5
13106,43.8
13107,35.9
13108,43.9
13109,44.2
13110,43
13111,43.3
13112,44.6
13113,43.3
13114,39.3
13115,47.8
13116,47.4
13117,47.3
13118,51.7
13119,43.8
13120,41.6
13121,47
13122,46.6
13123,40.4
13124,47.2
13125,41.9
13126,43
13127,46.1
13128,44
13129,40.8
13130,45.2
13131,44.9
13132,45.5
13201,44.8
13401,43.6
14101,49.5
15101,42.6
16101,46.9
16102,40.2
16103,52.9
16301,53.2
16305,36.8
