"codcomuna","dato"
1101,45.2
1107,46
2101,44.2
3101,46.7
4101,48.1
4102,46.5
5101,50
5103,49.6
5109,48.4
5801,44.8
5804,47.1
6101,46.7
6108,44.7
7101,51.3
7105,50.9
8101,54
8102,54.8
8103,49.7
8106,55.4
8107,56.9
8108,53.2
8110,57.3
8111,58.4
8112,58.2
9101,52.5
9112,58
10101,56.1
10109,59
11101,57.6
12101,57.5
13101,45.2
13102,50.1
13103,46.4
13104,46
13105,46.3
13106,46.5
13107,48
13108,43.9
13109,43.6
13110,48.1
13111,52.1
13112,49.1
13113,44.9
13114,50.6
13115,44.9
13116,47.3
13117,45.7
13118,50.7
13119,46.4
13120,43.6
13121,46.7
13122,45.6
13123,38.7
13124,50.6
13125,46.5
13126,48.2
13127,45.6
13128,48.8
13129,45.9
13130,45
13131,43.7
13132,40.6
13201,46
13401,45.9
14101,53.1
15101,44.3
16101,50.5
16102,46.6
16103,48.6
16301,52.7
16305,46.4
