"codcomuna","dato"
1101,50.9
1107,53.7
2101,49.2
3101,52.7
4101,52.7
4102,54.8
5101,53.1
5103,51.6
5109,53.6
5801,51.5
5804,51
6101,51.4
6108,53.8
7101,52.7
7105,55.4
8101,57.3
8102,55.2
8103,58.4
8106,63.6
8107,52.7
8108,49.1
8110,50.5
8111,57.9
8112,57.8
9101,55.9
9112,57.5
10101,55.9
10109,55.5
11101,53
12101,50.6
13101,44
13102,52.4
13103,55
13104,56.8
13105,53.9
13106,50
13107,45.2
13108,49.3
13109,46.8
13110,52.7
13111,58.2
13112,51.7
13113,47.6
13114,44.7
13115,54.1
13116,56.1
13117,55.3
13118,50.7
13119,49.6
13120,47.8
13121,48
13122,55.5
13123,44.8
13124,57.6
13125,50.9
13126,46.1
13127,50
13128,54.2
13129,47
13130,45.9
13131,49.4
13132,42
13201,54.1
13401,50.6
14101,51.7
15101,49.3
16101,55.5
16102,54.7
16103,61.8
16301,51.7
16305,58.1
