"codcomuna","dato"
1101,48.4
1107,49.8
2101,48.9
3101,48.9
4101,49.7
4102,49.7
5101,53.6
5103,46.7
5109,51.3
5801,50
5804,49.1
6101,49.7
6108,47.5
7101,54.1
7105,52.3
8101,54.1
8102,54.3
8103,57.1
8106,54.8
8107,54.6
8108,53.1
8110,52.9
8111,56.8
8112,58.6
9101,52.4
9112,54.7
10101,55.9
10109,59.8
11101,50.2
12101,55
13101,47
13102,43.8
13103,53.2
13104,49.6
13105,50.2
13106,48.5
13107,48.9
13108,50.5
13109,44.5
13110,48
13111,54.2
13112,53.4
13113,43.8
13114,45.8
13115,46.4
13116,48.7
13117,46.9
13118,52.1
13119,47.6
13120,48.3
13121,49.4
13122,52.8
13123,45.5
13124,55.7
13125,52.5
13126,51.2
13127,50.8
13128,51.8
13129,49.5
13130,45.7
13131,49.8
13132,41.2
13201,47.4
13401,48.7
14101,53.4
15101,45.3
16101,53.3
16102,43.2
16103,56.5
16301,54.7
16305,40.8
