"codcomuna","grado","dato"
1101,"1° Básico",45.3
1101,"Kínder",46.7
1107,"1° Básico",53
1107,"Kínder",48.4
2101,"1° Básico",45.8
2101,"Kínder",50.5
3101,"1° Básico",54
3101,"Kínder",53.6
4101,"1° Básico",52.8
4101,"Kínder",49.5
4102,"1° Básico",47.5
4102,"Kínder",49.7
5101,"1° Básico",54.5
5101,"Kínder",53.9
5103,"1° Básico",49.9
5103,"Kínder",61.2
5109,"1° Básico",52.2
5109,"Kínder",53.3
5801,"1° Básico",45.7
5801,"Kínder",46.1
5804,"1° Básico",44.2
5804,"Kínder",45
6101,"1° Básico",50.7
6101,"Kínder",47.9
6108,"1° Básico",51.6
6108,"Kínder",51.6
7101,"1° Básico",55.1
7101,"Kínder",54.9
7105,"1° Básico",47
7105,"Kínder",43.8
8101,"1° Básico",50.1
8101,"Kínder",52.2
8102,"1° Básico",54.2
8102,"Kínder",49.3
8103,"1° Básico",56.3
8103,"Kínder",50.1
8106,"1° Básico",59.5
8106,"Kínder",52.9
8107,"1° Básico",55.2
8107,"Kínder",54.3
8108,"1° Básico",57.4
8108,"Kínder",50.5
8110,"1° Básico",49.1
8110,"Kínder",56.4
8111,"1° Básico",57.1
8111,"Kínder",61.3
8112,"1° Básico",55.2
8112,"Kínder",54.1
9101,"1° Básico",52.9
9101,"Kínder",52.4
9112,"1° Básico",46.9
9112,"Kínder",47.6
10101,"1° Básico",49.8
10101,"Kínder",53.4
10109,"1° Básico",52.6
10109,"Kínder",51.2
11101,"1° Básico",58.4
11101,"Kínder",58.1
12101,"1° Básico",56.8
12101,"Kínder",50.2
13101,"1° Básico",49.6
13101,"Kínder",45.5
13102,"1° Básico",60.1
13102,"Kínder",50.4
13103,"1° Básico",52.5
13103,"Kínder",45.8
13104,"1° Básico",49.8
13104,"Kínder",52.3
13105,"1° Básico",56.1
13105,"Kínder",48.6
13106,"1° Básico",52.4
13106,"Kínder",53.4
13107,"1° Básico",50.3
13107,"Kínder",48.4
13108,"1° Básico",47.6
13108,"Kínder",45.5
13109,"1° Básico",50.2
13109,"Kínder",47.8
13110,"1° Básico",53.7
13110,"Kínder",49.3
13111,"1° Básico",53.2
13111,"Kínder",43.9
13112,"1° Básico",51.1
13112,"Kínder",48.8
13113,"1° Básico",49.6
13113,"Kínder",49.7
13114,"1° Básico",47.1
13114,"Kínder",47.2
13115,"1° Básico",50
13115,"Kínder",52.7
13116,"1° Básico",45.2
13116,"Kínder",54.4
13117,"1° Básico",49.2
13117,"Kínder",52.6
13118,"1° Básico",52.2
13118,"Kínder",45.2
13119,"1° Básico",51.4
13119,"Kínder",49.7
13120,"1° Básico",42.6
13120,"Kínder",49.6
13121,"1° Básico",49.5
13121,"Kínder",41.4
13122,"1° Básico",49
13122,"Kínder",50.7
13123,"1° Básico",48.7
13123,"Kínder",48.2
13124,"1° Básico",48.6
13124,"Kínder",52.2
13125,"1° Básico",50.1
13125,"Kínder",49.9
13126,"1° Básico",52.5
13126,"Kínder",41.9
13127,"1° Básico",49.9
13127,"Kínder",50.4
13128,"1° Básico",54.4
13128,"Kínder",45.5
13129,"1° Básico",54.6
13129,"Kínder",55.4
13130,"1° Básico",50.6
13130,"Kínder",49.7
13131,"1° Básico",43.4
13131,"Kínder",47.7
13132,"1° Básico",40.5
13132,"Kínder",39.5
13201,"1° Básico",46.1
13201,"Kínder",46.3
13401,"1° Básico",48.5
13401,"Kínder",48.9
14101,"1° Básico",60.1
14101,"Kínder",56.5
15101,"1° Básico",44.9
15101,"Kínder",50.7
16101,"1° Básico",50
16101,"Kínder",50.2
16102,"1° Básico",53.2
16102,"Kínder",60.9
16103,"1° Básico",46.7
16103,"Kínder",60
16301,"1° Básico",60.1
16301,"Kínder",54.9
16305,"1° Básico",46.4
16305,"Kínder",58
