"codcomuna","grado","dato"
1101,"1° Básico",49.2
1101,"Kínder",46.7
1107,"1° Básico",51.4
1107,"Kínder",49.8
2101,"1° Básico",50.7
2101,"Kínder",48.9
3101,"1° Básico",51
3101,"Kínder",48
4101,"1° Básico",51.2
4101,"Kínder",49.7
4102,"1° Básico",50.8
4102,"Kínder",49.1
5101,"1° Básico",51.5
5101,"Kínder",52.4
5103,"1° Básico",56.4
5103,"Kínder",50.7
5109,"1° Básico",51.4
5109,"Kínder",50.2
5801,"1° Básico",48
5801,"Kínder",45.7
5804,"1° Básico",49.1
5804,"Kínder",48.3
6101,"1° Básico",52.5
6101,"Kínder",48.4
6108,"1° Básico",41.5
6108,"Kínder",51.6
7101,"1° Básico",53.3
7101,"Kínder",52.4
7105,"1° Básico",45.8
7105,"Kínder",49.7
8101,"1° Básico",52.6
8101,"Kínder",51.2
8102,"1° Básico",52
8102,"Kínder",50.7
8103,"1° Básico",56.9
8103,"Kínder",49.8
8106,"1° Básico",55.9
8106,"Kínder",53.9
8107,"1° Básico",52.8
8107,"Kínder",57
8108,"1° Básico",51.7
8108,"Kínder",52
8110,"1° Básico",52.3
8110,"Kínder",54.3
8111,"1° Básico",53.8
8111,"Kínder",52.8
8112,"1° Básico",55
8112,"Kínder",55.1
9101,"1° Básico",55.7
9101,"Kínder",53
9112,"1° Básico",43.4
9112,"Kínder",50.8
10101,"1° Básico",49.9
10101,"Kínder",51
10109,"1° Básico",48.2
10109,"Kínder",50.6
11101,"1° Básico",57.2
11101,"Kínder",53
12101,"1° Básico",54.6
12101,"Kínder",55.8
13101,"1° Básico",50
13101,"Kínder",46.7
13102,"1° Básico",55.8
13102,"Kínder",50.2
13103,"1° Básico",49.7
13103,"Kínder",46.5
13104,"1° Básico",54.7
13104,"Kínder",46.5
13105,"1° Básico",49.4
13105,"Kínder",53.4
13106,"1° Básico",51.1
13106,"Kínder",51.1
13107,"1° Básico",52.2
13107,"Kínder",48.4
13108,"1° Básico",48.5
13108,"Kínder",51.7
13109,"1° Básico",50.2
13109,"Kínder",47.5
13110,"1° Básico",49
13110,"Kínder",48.9
13111,"1° Básico",50.1
13111,"Kínder",49.5
13112,"1° Básico",50.7
13112,"Kínder",51.5
13113,"1° Básico",50.1
13113,"Kínder",51.8
13114,"1° Básico",46.7
13114,"Kínder",45.8
13115,"1° Básico",48.8
13115,"Kínder",45.1
13116,"1° Básico",53.8
13116,"Kínder",53.5
13117,"1° Básico",49.9
13117,"Kínder",52.8
13118,"1° Básico",51.6
13118,"Kínder",55.1
13119,"1° Básico",52.7
13119,"Kínder",48.8
13120,"1° Básico",47.8
13120,"Kínder",48.7
13121,"1° Básico",47.9
13121,"Kínder",47.4
13122,"1° Básico",50.8
13122,"Kínder",50.7
13123,"1° Básico",47.7
13123,"Kínder",42.2
13124,"1° Básico",52.3
13124,"Kínder",49.5
13125,"1° Básico",46.5
13125,"Kínder",48.1
13126,"1° Básico",50.1
13126,"Kínder",48.6
13127,"1° Básico",51.1
13127,"Kínder",45.6
13128,"1° Básico",54.4
13128,"Kínder",51.7
13129,"1° Básico",54.8
13129,"Kínder",52.3
13130,"1° Básico",47.9
13130,"Kínder",47.5
13131,"1° Básico",50.8
13131,"Kínder",46
13132,"1° Básico",48.2
13132,"Kínder",35.6
13201,"1° Básico",52.3
13201,"Kínder",47.7
13401,"1° Básico",45
13401,"Kínder",48.9
14101,"1° Básico",53.9
14101,"Kínder",55.6
15101,"1° Básico",45.6
15101,"Kínder",50.1
16101,"1° Básico",60.3
16101,"Kínder",54.5
16102,"1° Básico",46.6
16102,"Kínder",39.9
16103,"1° Básico",54.9
16103,"Kínder",53
16301,"1° Básico",54.6
16301,"Kínder",59
16305,"1° Básico",11.3
16305,"Kínder",58.7
