"codcomuna","grado","dato"
1101,"1° Básico",41.2
1101,"Kínder",51.9
1107,"1° Básico",45.5
1107,"Kínder",52.8
2101,"1° Básico",44.3
2101,"Kínder",50.6
3101,"1° Básico",44.6
3101,"Kínder",52
4101,"1° Básico",46.9
4101,"Kínder",53.4
4102,"1° Básico",50.9
4102,"Kínder",51.3
5101,"1° Básico",48.4
5101,"Kínder",52.9
5103,"1° Básico",48
5103,"Kínder",55.3
5109,"1° Básico",47.8
5109,"Kínder",54.1
5801,"1° Básico",45.1
5801,"Kínder",43.8
5804,"1° Básico",43.6
5804,"Kínder",42.8
6101,"1° Básico",50.9
6101,"Kínder",51.7
6108,"1° Básico",42.5
6108,"Kínder",46.8
7101,"1° Básico",51.1
7101,"Kínder",51.6
7105,"1° Básico",49.6
7105,"Kínder",53.7
8101,"1° Básico",49.5
8101,"Kínder",54
8102,"1° Básico",50.2
8102,"Kínder",52.4
8103,"1° Básico",53.4
8103,"Kínder",54.6
8106,"1° Básico",58.8
8106,"Kínder",55.6
8107,"1° Básico",43.8
8107,"Kínder",55.4
8108,"1° Básico",48.6
8108,"Kínder",46.9
8110,"1° Básico",47.4
8110,"Kínder",54
8111,"1° Básico",50.4
8111,"Kínder",57.4
8112,"1° Básico",51.3
8112,"Kínder",58.2
9101,"1° Básico",50.5
9101,"Kínder",55
9112,"1° Básico",55.1
9112,"Kínder",53.8
10101,"1° Básico",45.8
10101,"Kínder",52.2
10109,"1° Básico",56.4
10109,"Kínder",60.2
11101,"1° Básico",53
11101,"Kínder",57.9
12101,"1° Básico",54.6
12101,"Kínder",56.1
13101,"1° Básico",49.7
13101,"Kínder",46.4
13102,"1° Básico",54.6
13102,"Kínder",45.2
13103,"1° Básico",46
13103,"Kínder",49.3
13104,"1° Básico",47.5
13104,"Kínder",50.1
13105,"1° Básico",53.3
13105,"Kínder",49.6
13106,"1° Básico",45.7
13106,"Kínder",48.1
13107,"1° Básico",42.7
13107,"Kínder",52.3
13108,"1° Básico",42.1
13108,"Kínder",48.9
13109,"1° Básico",44.9
13109,"Kínder",52.1
13110,"1° Básico",46.8
13110,"Kínder",52.4
13111,"1° Básico",47.4
13111,"Kínder",50.4
13112,"1° Básico",49.7
13112,"Kínder",48.3
13113,"1° Básico",40.9
13113,"Kínder",46.2
13114,"1° Básico",48.1
13114,"Kínder",49.6
13115,"1° Básico",44.3
13115,"Kínder",45.6
13116,"1° Básico",53.8
13116,"Kínder",47.7
13117,"1° Básico",47
13117,"Kínder",48.6
13118,"1° Básico",42.4
13118,"Kínder",51.3
13119,"1° Básico",48.8
13119,"Kínder",50.4
13120,"1° Básico",46.1
13120,"Kínder",43.5
13121,"1° Básico",50.9
13121,"Kínder",48.9
13122,"1° Básico",42.4
13122,"Kínder",48.3
13123,"1° Básico",39.4
13123,"Kínder",47.9
13124,"1° Básico",52.6
13124,"Kínder",45
13125,"1° Básico",42.5
13125,"Kínder",47.8
13126,"1° Básico",53.8
13126,"Kínder",46
13127,"1° Básico",48.8
13127,"Kínder",46.8
13128,"1° Básico",45.8
13128,"Kínder",51.3
13129,"1° Básico",40.2
13129,"Kínder",58.7
13130,"1° Básico",43.6
13130,"Kínder",51
13131,"1° Básico",45.5
13131,"Kínder",45.4
13132,"1° Básico",38.3
13132,"Kínder",50
13201,"1° Básico",46.6
13201,"Kínder",44.3
13401,"1° Básico",49.2
13401,"Kínder",50.3
14101,"1° Básico",53.5
14101,"Kínder",55.6
15101,"1° Básico",46.9
15101,"Kínder",53
16101,"1° Básico",49.4
16101,"Kínder",52
16102,"1° Básico",53.9
16102,"Kínder",55.3
16103,"1° Básico",55.3
16103,"Kínder",55.4
16301,"1° Básico",56.3
16301,"Kínder",57
16305,"1° Básico",50
