"codcomuna","grado","dato"
1101,"1° Básico",45.6
1101,"Kínder",46.2
1107,"1° Básico",46.5
1107,"Kínder",42.2
2101,"1° Básico",43.5
2101,"Kínder",43.8
3101,"1° Básico",45
3101,"Kínder",50.2
4101,"1° Básico",48.1
4101,"Kínder",47.1
4102,"1° Básico",49
4102,"Kínder",46.2
5101,"1° Básico",49.6
5101,"Kínder",54.3
5103,"1° Básico",46.9
5103,"Kínder",47.5
5109,"1° Básico",48.6
5109,"Kínder",46.6
5801,"1° Básico",43.2
5801,"Kínder",44.7
5804,"1° Básico",41.8
5804,"Kínder",46.5
6101,"1° Básico",46.5
6101,"Kínder",45.6
6108,"1° Básico",44.9
6108,"Kínder",35.3
7101,"1° Básico",46.3
7101,"Kínder",45.3
7105,"1° Básico",55.3
7105,"Kínder",33.3
8101,"1° Básico",46.4
8101,"Kínder",49
8102,"1° Básico",48.2
8102,"Kínder",47.2
8103,"1° Básico",52.4
8103,"Kínder",46.1
8106,"1° Básico",49
8106,"Kínder",47
8107,"1° Básico",47.8
8107,"Kínder",51.1
8108,"1° Básico",48.2
8108,"Kínder",50.4
8110,"1° Básico",52.2
8110,"Kínder",50.5
8111,"1° Básico",48.9
8111,"Kínder",48.6
8112,"1° Básico",48.8
8112,"Kínder",50.1
9101,"1° Básico",48.8
9101,"Kínder",49.1
9112,"1° Básico",49.2
9112,"Kínder",48.4
10101,"1° Básico",54.2
10101,"Kínder",54
10109,"1° Básico",43.7
10109,"Kínder",60.5
11101,"1° Básico",53.7
11101,"Kínder",59.5
12101,"1° Básico",56
12101,"Kínder",54.6
13101,"1° Básico",48.9
13101,"Kínder",42.5
13102,"1° Básico",47.7
13102,"Kínder",46.2
13103,"1° Básico",46.1
13103,"Kínder",47.8
13104,"1° Básico",47.6
13104,"Kínder",40.2
13105,"1° Básico",44.7
13105,"Kínder",42.4
13106,"1° Básico",44.8
13106,"Kínder",40
13107,"1° Básico",43.6
13107,"Kínder",33.2
13108,"1° Básico",49.1
13108,"Kínder",44.6
13109,"1° Básico",44.8
13109,"Kínder",37.6
13110,"1° Básico",45.9
13110,"Kínder",42.5
13111,"1° Básico",45.5
13111,"Kínder",44
13112,"1° Básico",48.2
13112,"Kínder",41.6
13113,"1° Básico",49.2
13113,"Kínder",42
13114,"1° Básico",42.3
13114,"Kínder",37.5
13115,"1° Básico",49
13115,"Kínder",42.7
13116,"1° Básico",44.7
13116,"Kínder",43.6
13117,"1° Básico",51.1
13117,"Kínder",43.7
13118,"1° Básico",53.4
13118,"Kínder",51.9
13119,"1° Básico",48.6
13119,"Kínder",44.3
13120,"1° Básico",44
13120,"Kínder",43.8
13121,"1° Básico",49.2
13121,"Kínder",47.7
13122,"1° Básico",44.9
13122,"Kínder",42.8
13123,"1° Básico",48.6
13123,"Kínder",45.2
13124,"1° Básico",44.9
13124,"Kínder",46.2
13125,"1° Básico",41
13125,"Kínder",48.7
13126,"1° Básico",46.5
13126,"Kínder",48
13127,"1° Básico",43.2
13127,"Kínder",42.8
13128,"1° Básico",43.6
13128,"Kínder",42.6
13129,"1° Básico",49.4
13129,"Kínder",48.1
13130,"1° Básico",44.9
13130,"Kínder",50.4
13131,"1° Básico",37.5
13131,"Kínder",30.9
13132,"1° Básico",47.5
13132,"Kínder",62.1
13201,"1° Básico",44.5
13201,"Kínder",42.4
13401,"1° Básico",45.7
13401,"Kínder",43.1
14101,"1° Básico",51.8
14101,"Kínder",56.9
15101,"1° Básico",44.3
15101,"Kínder",47.1
16101,"1° Básico",47.6
16101,"Kínder",46.4
16102,"1° Básico",47.6
16102,"Kínder",20
16103,"1° Básico",52
16103,"Kínder",62.8
16301,"1° Básico",48.6
16301,"Kínder",45.4
16305,"1° Básico",45.8
16305,"Kínder",45.7
