"codcomuna","grado","dato"
1101,"1° Básico",50.2
1101,"Kínder",46.8
1107,"1° Básico",49
1107,"Kínder",38
2101,"1° Básico",48.7
2101,"Kínder",48.6
3101,"1° Básico",48.2
3101,"Kínder",49.2
4101,"1° Básico",48
4101,"Kínder",47.8
4102,"1° Básico",48.7
4102,"Kínder",49.5
5101,"1° Básico",48.6
5101,"Kínder",48.4
5103,"1° Básico",47.2
5103,"Kínder",56.9
5109,"1° Básico",48.2
5109,"Kínder",46.1
5801,"1° Básico",49.3
5801,"Kínder",45.3
5804,"1° Básico",47.7
5804,"Kínder",39.2
6101,"1° Básico",47.3
6101,"Kínder",43
6108,"1° Básico",49.4
6108,"Kínder",33.8
7101,"1° Básico",48.4
7101,"Kínder",49.2
7105,"1° Básico",54
7105,"Kínder",52.2
8101,"1° Básico",47.8
8101,"Kínder",48.7
8102,"1° Básico",48.9
8102,"Kínder",54.6
8103,"1° Básico",45.9
8103,"Kínder",50.1
8106,"1° Básico",48.4
8106,"Kínder",52.5
8107,"1° Básico",47.9
8107,"Kínder",53.1
8108,"1° Básico",46.8
8108,"Kínder",53.2
8110,"1° Básico",46.8
8110,"Kínder",50.3
8111,"1° Básico",50.6
8111,"Kínder",46.4
8112,"1° Básico",49.5
8112,"Kínder",50.4
9101,"1° Básico",47.7
9101,"Kínder",51
9112,"1° Básico",47.2
9112,"Kínder",49.6
10101,"1° Básico",50.5
10101,"Kínder",58.2
10109,"1° Básico",48.3
10109,"Kínder",59.1
11101,"1° Básico",48.5
11101,"Kínder",52.5
12101,"1° Básico",46.3
12101,"Kínder",56.4
13101,"1° Básico",50.4
13101,"Kínder",45.6
13102,"1° Básico",46.4
13102,"Kínder",36.9
13103,"1° Básico",49.6
13103,"Kínder",44.6
13104,"1° Básico",47.2
13104,"Kínder",40.5
13105,"1° Básico",48.8
13105,"Kínder",44.1
13106,"1° Básico",52.1
13106,"Kínder",42.5
13107,"1° Básico",49
13107,"Kínder",55.4
13108,"1° Básico",47.2
13108,"Kínder",50.7
13109,"1° Básico",45.4
13109,"Kínder",43.7
13110,"1° Básico",48.2
13110,"Kínder",47.7
13111,"1° Básico",48.4
13111,"Kínder",42.6
13112,"1° Básico",48
13112,"Kínder",41.4
13113,"1° Básico",45.3
13113,"Kínder",46.1
13114,"1° Básico",47.4
13114,"Kínder",44.6
13115,"1° Básico",49
13115,"Kínder",46.8
13116,"1° Básico",49.4
13116,"Kínder",50.5
13117,"1° Básico",49.2
13117,"Kínder",35.8
13118,"1° Básico",50.4
13118,"Kínder",42.1
13119,"1° Básico",49.6
13119,"Kínder",44.3
13120,"1° Básico",49.1
13120,"Kínder",39.7
13121,"1° Básico",51.4
13121,"Kínder",43.6
13122,"1° Básico",48.6
13122,"Kínder",46.9
13123,"1° Básico",48.6
13123,"Kínder",40.9
13124,"1° Básico",49
13124,"Kínder",50.6
13125,"1° Básico",47
13125,"Kínder",38.2
13126,"1° Básico",49.6
13126,"Kínder",51.6
13127,"1° Básico",49.9
13127,"Kínder",48.5
13128,"1° Básico",48.7
13128,"Kínder",49.3
13129,"1° Básico",47.4
13129,"Kínder",39.4
13130,"1° Básico",49.6
13130,"Kínder",40.6
13131,"1° Básico",48
13131,"Kínder",42.5
13132,"1° Básico",48.1
13132,"Kínder",25
13201,"1° Básico",49.5
13201,"Kínder",44.3
13401,"1° Básico",48.2
13401,"Kínder",44.7
14101,"1° Básico",49
14101,"Kínder",56.2
15101,"1° Básico",48.1
15101,"Kínder",45
16101,"1° Básico",46.8
16101,"Kínder",50.3
16102,"1° Básico",52.9
16102,"Kínder",46.4
16103,"1° Básico",43.3
16103,"Kínder",58.3
16301,"1° Básico",43.7
16301,"Kínder",56
16305,"1° Básico",46.3
16305,"Kínder",57.9
