"codcomuna","grado","dato"
1101,"1° Básico",48.2
1101,"Kínder",48.5
1107,"1° Básico",47.2
1107,"Kínder",52.4
2101,"1° Básico",48.6
2101,"Kínder",49.3
3101,"1° Básico",48.7
3101,"Kínder",49.1
4101,"1° Básico",49.9
4101,"Kínder",49.5
4102,"1° Básico",48.1
4102,"Kínder",51.4
5101,"1° Básico",52
5101,"Kínder",55.2
5103,"1° Básico",49.8
5103,"Kínder",43.9
5109,"1° Básico",51
5109,"Kínder",51.5
5801,"1° Básico",51.8
5801,"Kínder",47.8
5804,"1° Básico",47.9
5804,"Kínder",50.3
6101,"1° Básico",49.7
6101,"Kínder",49.8
6108,"1° Básico",49.9
6108,"Kínder",45
7101,"1° Básico",53.7
7101,"Kínder",54.5
7105,"1° Básico",54.5
7105,"Kínder",50.3
8101,"1° Básico",56.4
8101,"Kínder",51.7
8102,"1° Básico",53.2
8102,"Kínder",55.5
8103,"1° Básico",58.1
8103,"Kínder",56.2
8106,"1° Básico",52.7
8106,"Kínder",56.9
8107,"1° Básico",48.4
8107,"Kínder",60.1
8108,"1° Básico",51.9
8108,"Kínder",54.4
8110,"1° Básico",49.2
8110,"Kínder",56.7
8111,"1° Básico",57
8111,"Kínder",56.5
8112,"1° Básico",57.5
8112,"Kínder",59.9
9101,"1° Básico",51.4
9101,"Kínder",53.5
9112,"1° Básico",51.5
9112,"Kínder",59.1
10101,"1° Básico",56.2
10101,"Kínder",55.5
10109,"1° Básico",61.1
10109,"Kínder",58.6
11101,"1° Básico",50.9
11101,"Kínder",49.3
12101,"1° Básico",53.9
12101,"Kínder",56.2
13101,"1° Básico",45.9
13101,"Kínder",48.3
13102,"1° Básico",42
13102,"Kínder",45.8
13103,"1° Básico",50.7
13103,"Kínder",55.8
13104,"1° Básico",49.6
13104,"Kínder",49.7
13105,"1° Básico",51.4
13105,"Kínder",48.9
13106,"1° Básico",46.1
13106,"Kínder",51.3
13107,"1° Básico",43.7
13107,"Kínder",53.6
13108,"1° Básico",51.9
13108,"Kínder",48.8
13109,"1° Básico",44.8
13109,"Kínder",44.2
13110,"1° Básico",46.3
13110,"Kínder",49.9
13111,"1° Básico",53.9
13111,"Kínder",54.5
13112,"1° Básico",54.5
13112,"Kínder",52.3
13113,"1° Básico",39.8
13113,"Kínder",48.5
13114,"1° Básico",44.6
13114,"Kínder",47.1
13115,"1° Básico",42.5
13115,"Kínder",50.6
13116,"1° Básico",49.3
13116,"Kínder",48
13117,"1° Básico",46.5
13117,"Kínder",47.3
13118,"1° Básico",56
13118,"Kínder",48.5
13119,"1° Básico",46.4
13119,"Kínder",48.8
13120,"1° Básico",48.1
13120,"Kínder",48.5
13121,"1° Básico",48.2
13121,"Kínder",50.6
13122,"1° Básico",53.1
13122,"Kínder",52.4
13123,"1° Básico",45.5
13123,"Kínder",45.6
13124,"1° Básico",54.5
13124,"Kínder",56.9
13125,"1° Básico",52.4
13125,"Kínder",52.7
13126,"1° Básico",52.9
13126,"Kínder",49.5
13127,"1° Básico",50.5
13127,"Kínder",51.2
13128,"1° Básico",52.5
13128,"Kínder",51
13129,"1° Básico",47.1
13129,"Kínder",51.7
13130,"1° Básico",47.2
13130,"Kínder",43.7
13131,"1° Básico",50.7
13131,"Kínder",48.9
13132,"1° Básico",37
13132,"Kínder",46.8
13201,"1° Básico",48
13201,"Kínder",46.7
13401,"1° Básico",48.1
13401,"Kínder",49.4
14101,"1° Básico",50.2
14101,"Kínder",56.7
15101,"1° Básico",42.5
15101,"Kínder",48.2
16101,"1° Básico",50.8
16101,"Kínder",56.1
16102,"1° Básico",48
16102,"Kínder",37.7
16103,"1° Básico",62.5
16103,"Kínder",50
16301,"1° Básico",51.2
16301,"Kínder",58.2
16305,"1° Básico",40.7
16305,"Kínder",40.8
