"codcomuna","grado","dato"
1101,"1° Básico",51.2
1101,"Kínder",49.1
1107,"1° Básico",52.3
1107,"Kínder",55.2
2101,"1° Básico",46
2101,"Kínder",50
3101,"1° Básico",45.1
3101,"Kínder",49.4
4101,"1° Básico",51.6
4101,"Kínder",48.2
4102,"1° Básico",53.1
4102,"Kínder",53.4
5101,"1° Básico",50.4
5101,"Kínder",50.8
5103,"1° Básico",48.4
5103,"Kínder",48.3
5109,"1° Básico",47.2
5109,"Kínder",51.6
5801,"1° Básico",51.1
5801,"Kínder",45.3
5804,"1° Básico",52.5
5804,"Kínder",53.9
6101,"1° Básico",49.1
6101,"Kínder",48.4
6108,"1° Básico",50.9
6108,"Kínder",51.2
7101,"1° Básico",56
7101,"Kínder",53.6
7105,"1° Básico",55.5
7105,"Kínder",59.6
8101,"1° Básico",47.6
8101,"Kínder",56.1
8102,"1° Básico",55.6
8102,"Kínder",54.2
8103,"1° Básico",57.5
8103,"Kínder",58.1
8106,"1° Básico",56.4
8106,"Kínder",64.8
8107,"1° Básico",54.4
8107,"Kínder",50.2
8108,"1° Básico",54.5
8108,"Kínder",51.1
8110,"1° Básico",57.6
8110,"Kínder",54.3
8111,"1° Básico",56.5
8111,"Kínder",61.3
8112,"1° Básico",56.9
8112,"Kínder",55.3
9101,"1° Básico",50.7
9101,"Kínder",53
9112,"1° Básico",56.8
9112,"Kínder",62
10101,"1° Básico",53.2
10101,"Kínder",57.7
10109,"1° Básico",54
10109,"Kínder",54.7
11101,"1° Básico",59.9
11101,"Kínder",56.6
12101,"1° Básico",54.1
12101,"Kínder",54.6
13101,"1° Básico",44.2
13101,"Kínder",43.6
13102,"1° Básico",49.6
13102,"Kínder",48.5
13103,"1° Básico",53.5
13103,"Kínder",44
13104,"1° Básico",43
13104,"Kínder",48.1
13105,"1° Básico",50.7
13105,"Kínder",46.2
13106,"1° Básico",45.7
13106,"Kínder",46.5
13107,"1° Básico",48.3
13107,"Kínder",61.7
13108,"1° Básico",45.3
13108,"Kínder",42.9
13109,"1° Básico",44.3
13109,"Kínder",44.1
13110,"1° Básico",45.8
13110,"Kínder",44.1
13111,"1° Básico",50.9
13111,"Kínder",52.5
13112,"1° Básico",48.5
13112,"Kínder",48.4
13113,"1° Básico",47.1
13113,"Kínder",44.4
13114,"1° Básico",46.8
13114,"Kínder",49.4
13115,"1° Básico",46.2
13115,"Kínder",43.9
13116,"1° Básico",50.8
13116,"Kínder",49.7
13117,"1° Básico",48.2
13117,"Kínder",47.3
13118,"1° Básico",44.9
13118,"Kínder",43.4
13119,"1° Básico",48.7
13119,"Kínder",48.9
13120,"1° Básico",39.1
13120,"Kínder",41.8
13121,"1° Básico",49.2
13121,"Kínder",48.4
13122,"1° Básico",49.7
13122,"Kínder",52.8
13123,"1° Básico",44.1
13123,"Kínder",43.4
13124,"1° Básico",51.9
13124,"Kínder",51.8
13125,"1° Básico",44
13125,"Kínder",48.4
13126,"1° Básico",47.5
13126,"Kínder",47.4
13127,"1° Básico",49.4
13127,"Kínder",49.6
13128,"1° Básico",46.4
13128,"Kínder",53
13129,"1° Básico",46
13129,"Kínder",47.4
13130,"1° Básico",40.4
13130,"Kínder",47.1
13131,"1° Básico",52.9
13131,"Kínder",53.6
13132,"1° Básico",52.7
13132,"Kínder",39
13201,"1° Básico",45.9
13201,"Kínder",45.5
13401,"1° Básico",49.6
13401,"Kínder",50.2
14101,"1° Básico",50.2
14101,"Kínder",51.1
15101,"1° Básico",46.4
15101,"Kínder",47.7
16101,"1° Básico",50.3
16101,"Kínder",55.2
16102,"1° Básico",46.5
16102,"Kínder",60.6
16103,"1° Básico",64.5
16103,"Kínder",54
16301,"1° Básico",55.5
16301,"Kínder",56.1
16305,"1° Básico",52.4
16305,"Kínder",55.3
