"codcomuna","grado","dato"
1101,"1° Básico",45.9
1101,"Kínder",49
1107,"1° Básico",49.4
1107,"Kínder",47.1
2101,"1° Básico",48.8
2101,"Kínder",48.2
3101,"1° Básico",53.3
3101,"Kínder",51.6
4101,"1° Básico",48.6
4101,"Kínder",45
4102,"1° Básico",50.4
4102,"Kínder",50.9
5101,"1° Básico",53.7
5101,"Kínder",51.8
5103,"1° Básico",49.1
5103,"Kínder",61.1
5109,"1° Básico",49.3
5109,"Kínder",50.8
5801,"1° Básico",48.6
5801,"Kínder",47.4
5804,"1° Básico",45.8
5804,"Kínder",49.5
6101,"1° Básico",50
6101,"Kínder",48.4
6108,"1° Básico",44.8
6108,"Kínder",58.4
7101,"1° Básico",49.2
7101,"Kínder",51.9
7105,"1° Básico",46.7
7105,"Kínder",39.6
8101,"1° Básico",50.7
8101,"Kínder",51.3
8102,"1° Básico",54
8102,"Kínder",51.4
8103,"1° Básico",53.8
8103,"Kínder",52.6
8106,"1° Básico",52
8106,"Kínder",54
8107,"1° Básico",53.3
8107,"Kínder",55
8108,"1° Básico",52.6
8108,"Kínder",54.5
8110,"1° Básico",51.9
8110,"Kínder",49.8
8111,"1° Básico",52.5
8111,"Kínder",61.3
8112,"1° Básico",51.9
8112,"Kínder",52.1
9101,"1° Básico",51.5
9101,"Kínder",52.7
9112,"1° Básico",55.2
9112,"Kínder",53.9
10101,"1° Básico",52
10101,"Kínder",53
10109,"1° Básico",48.5
10109,"Kínder",51.6
11101,"1° Básico",55.2
11101,"Kínder",55
12101,"1° Básico",57.8
12101,"Kínder",56.2
13101,"1° Básico",47.5
13101,"Kínder",48.1
13102,"1° Básico",46.9
13102,"Kínder",49.6
13103,"1° Básico",51.9
13103,"Kínder",55.7
13104,"1° Básico",53.1
13104,"Kínder",48
13105,"1° Básico",47.1
13105,"Kínder",52.1
13106,"1° Básico",50.8
13106,"Kínder",49.3
13107,"1° Básico",41.5
13107,"Kínder",52.4
13108,"1° Básico",52
13108,"Kínder",39.5
13109,"1° Básico",50.5
13109,"Kínder",49.1
13110,"1° Básico",48.3
13110,"Kínder",48.1
13111,"1° Básico",48.4
13111,"Kínder",45.7
13112,"1° Básico",49.5
13112,"Kínder",48.7
13113,"1° Básico",42.9
13113,"Kínder",49.8
13114,"1° Básico",45.2
13114,"Kínder",43.8
13115,"1° Básico",45.1
13115,"Kínder",50.7
13116,"1° Básico",48.6
13116,"Kínder",47.1
13117,"1° Básico",50.3
13117,"Kínder",44.4
13118,"1° Básico",50.2
13118,"Kínder",48.3
13119,"1° Básico",48.8
13119,"Kínder",46.3
13120,"1° Básico",46.3
13120,"Kínder",45.8
13121,"1° Básico",49.9
13121,"Kínder",49.5
13122,"1° Básico",47.7
13122,"Kínder",50.7
13123,"1° Básico",48.9
13123,"Kínder",42.8
13124,"1° Básico",47.3
13124,"Kínder",51
13125,"1° Básico",46.3
13125,"Kínder",48.9
13126,"1° Básico",51.3
13126,"Kínder",45.4
13127,"1° Básico",45.7
13127,"Kínder",46.9
13128,"1° Básico",46.9
13128,"Kínder",50.3
13129,"1° Básico",53.9
13129,"Kínder",49.9
13130,"1° Básico",44.7
13130,"Kínder",46.4
13131,"1° Básico",42.9
13131,"Kínder",41.7
13132,"1° Básico",28.4
13132,"Kínder",40.2
13201,"1° Básico",46.1
13201,"Kínder",48
13401,"1° Básico",50.8
13401,"Kínder",48.8
14101,"1° Básico",52.7
14101,"Kínder",38.1
15101,"1° Básico",44.6
15101,"Kínder",37.3
16101,"1° Básico",49.9
16101,"Kínder",38
16102,"1° Básico",43.7
16102,"Kínder",33.1
16103,"1° Básico",51.7
16103,"Kínder",37.8
16301,"1° Básico",63.5
16301,"Kínder",36.6
16305,"1° Básico",56.9
16305,"Kínder",55.4
