"codcomuna","grado","dato"
1101,"1° Básico",47.5
1101,"Kínder",45.6
1107,"1° Básico",48.1
1107,"Kínder",55
2101,"1° Básico",43.6
2101,"Kínder",46.5
3101,"1° Básico",43.4
3101,"Kínder",47.6
4101,"1° Básico",49.9
4101,"Kínder",49.1
4102,"1° Básico",48.2
4102,"Kínder",51.7
5101,"1° Básico",49
5101,"Kínder",51.6
5103,"1° Básico",51.5
5103,"Kínder",53
5109,"1° Básico",48.7
5109,"Kínder",51.9
5801,"1° Básico",47.2
5801,"Kínder",46.1
5804,"1° Básico",47.5
5804,"Kínder",47.9
6101,"1° Básico",54.3
6101,"Kínder",48.4
6108,"1° Básico",55.7
6108,"Kínder",43.6
7101,"1° Básico",53.7
7101,"Kínder",53.6
7105,"1° Básico",69.3
7105,"Kínder",63.1
8101,"1° Básico",54.4
8101,"Kínder",51.2
8102,"1° Básico",51.1
8102,"Kínder",51.3
8103,"1° Básico",63.5
8103,"Kínder",57.5
8106,"1° Básico",58.7
8106,"Kínder",61.6
8107,"1° Básico",51.3
8107,"Kínder",56.3
8108,"1° Básico",45.6
8108,"Kínder",47.5
8110,"1° Básico",56.2
8110,"Kínder",56.8
8111,"1° Básico",55.1
8111,"Kínder",48.7
8112,"1° Básico",56.3
8112,"Kínder",52.7
9101,"1° Básico",53.3
9101,"Kínder",54.7
9112,"1° Básico",54
9112,"Kínder",54.5
10101,"1° Básico",53.5
10101,"Kínder",55.9
10109,"1° Básico",48
10109,"Kínder",55.6
11101,"1° Básico",53.2
11101,"Kínder",58.7
12101,"1° Básico",55.7
12101,"Kínder",53.8
13101,"1° Básico",47.1
13101,"Kínder",44.7
13102,"1° Básico",49.8
13102,"Kínder",43.8
13103,"1° Básico",51.9
13103,"Kínder",47.7
13104,"1° Básico",53.4
13104,"Kínder",46.6
13105,"1° Básico",51.9
13105,"Kínder",49.8
13106,"1° Básico",46.8
13106,"Kínder",47
13107,"1° Básico",42.8
13107,"Kínder",50.8
13108,"1° Básico",46.9
13108,"Kínder",44.6
13109,"1° Básico",47.5
13109,"Kínder",40.2
13110,"1° Básico",47.5
13110,"Kínder",44.9
13111,"1° Básico",42.2
13111,"Kínder",51.5
13112,"1° Básico",49.5
13112,"Kínder",52.9
13113,"1° Básico",49.3
13113,"Kínder",51.3
13114,"1° Básico",46.6
13114,"Kínder",36
13115,"1° Básico",47.9
13115,"Kínder",52
13116,"1° Básico",49.5
13116,"Kínder",49.4
13117,"1° Básico",51
13117,"Kínder",43.7
13118,"1° Básico",48.6
13118,"Kínder",49.4
13119,"1° Básico",50
13119,"Kínder",49
13120,"1° Básico",44.9
13120,"Kínder",44.4
13121,"1° Básico",41.5
13121,"Kínder",50.8
13122,"1° Básico",49.8
13122,"Kínder",53.1
13123,"1° Básico",45
13123,"Kínder",43
13124,"1° Básico",49.9
13124,"Kínder",50.1
13125,"1° Básico",43
13125,"Kínder",50
13126,"1° Básico",44.5
13126,"Kínder",46.3
13127,"1° Básico",44.8
13127,"Kínder",46.3
13128,"1° Básico",47
13128,"Kínder",50.4
13129,"1° Básico",43.3
13129,"Kínder",54.9
13130,"1° Básico",44.3
13130,"Kínder",47.8
13131,"1° Básico",49.5
13131,"Kínder",56
13132,"1° Básico",32.7
13132,"Kínder",34.3
13201,"1° Básico",50.2
13201,"Kínder",47.9
13401,"1° Básico",48.3
13401,"Kínder",50.5
14101,"1° Básico",51
14101,"Kínder",59.1
15101,"1° Básico",46.9
15101,"Kínder",50
16101,"1° Básico",51.2
16101,"Kínder",54.1
16102,"1° Básico",44.6
16102,"Kínder",42.5
16103,"1° Básico",53.7
16103,"Kínder",55.2
16301,"1° Básico",52.6
16301,"Kínder",59.5
16305,"1° Básico",45.7
16305,"Kínder",40
