"codcomuna","grado","dato"
1101,"1° Básico",46.1
1101,"Kínder",44.1
1107,"1° Básico",48.2
1107,"Kínder",43.8
2101,"1° Básico",46
2101,"Kínder",42.2
3101,"1° Básico",47.6
3101,"Kínder",45.8
4101,"1° Básico",49.1
4101,"Kínder",47.1
4102,"1° Básico",45.1
4102,"Kínder",48
5101,"1° Básico",49
5101,"Kínder",51.2
5103,"1° Básico",51.2
5103,"Kínder",48.2
5109,"1° Básico",49.3
5109,"Kínder",47.4
5801,"1° Básico",44.8
5801,"Kínder",44.7
5804,"1° Básico",47.1
5804,"Kínder",47.2
6101,"1° Básico",48.1
6101,"Kínder",45.3
6108,"1° Básico",44.3
6108,"Kínder",45
7101,"1° Básico",51.5
7101,"Kínder",51.1
7105,"1° Básico",47.6
7105,"Kínder",54.3
8101,"1° Básico",54.5
8101,"Kínder",53.4
8102,"1° Básico",55.1
8102,"Kínder",54.3
8103,"1° Básico",52
8103,"Kínder",47
8106,"1° Básico",60.5
8106,"Kínder",49.9
8107,"1° Básico",57.4
8107,"Kínder",56.5
8108,"1° Básico",55.2
8108,"Kínder",50.9
8110,"1° Básico",61.6
8110,"Kínder",52.8
8111,"1° Básico",57.4
8111,"Kínder",59.6
8112,"1° Básico",57.2
8112,"Kínder",59
9101,"1° Básico",54.2
9101,"Kínder",50.9
9112,"1° Básico",59
9112,"Kínder",57.1
10101,"1° Básico",53.4
10101,"Kínder",58.9
10109,"1° Básico",56.4
10109,"Kínder",61.5
11101,"1° Básico",57.6
11101,"Kínder",57.7
12101,"1° Básico",59.6
12101,"Kínder",55
13101,"1° Básico",48.1
13101,"Kínder",41.7
13102,"1° Básico",51.5
13102,"Kínder",48.7
13103,"1° Básico",46
13103,"Kínder",47
13104,"1° Básico",43.4
13104,"Kínder",49
13105,"1° Básico",47.3
13105,"Kínder",45.3
13106,"1° Básico",47
13106,"Kínder",46
13107,"1° Básico",42.9
13107,"Kínder",53.9
13108,"1° Básico",45
13108,"Kínder",42.5
13109,"1° Básico",43.3
13109,"Kínder",43.9
13110,"1° Básico",50
13110,"Kínder",45.9
13111,"1° Básico",57.4
13111,"Kínder",46.6
13112,"1° Básico",50.3
13112,"Kínder",47.9
13113,"1° Básico",46.4
13113,"Kínder",43
13114,"1° Básico",50.2
13114,"Kínder",51
13115,"1° Básico",44.5
13115,"Kínder",45.3
13116,"1° Básico",47.8
13116,"Kínder",46.8
13117,"1° Básico",46.6
13117,"Kínder",44.7
13118,"1° Básico",50.5
13118,"Kínder",50.9
13119,"1° Básico",48
13119,"Kínder",44.7
13120,"1° Básico",45.5
13120,"Kínder",41.5
13121,"1° Básico",50.3
13121,"Kínder",42.8
13122,"1° Básico",47.3
13122,"Kínder",43.7
13123,"1° Básico",38
13123,"Kínder",39.6
13124,"1° Básico",51.7
13124,"Kínder",49.4
13125,"1° Básico",45.9
13125,"Kínder",47.2
13126,"1° Básico",48.5
13126,"Kínder",47.8
13127,"1° Básico",48.4
13127,"Kínder",42.4
13128,"1° Básico",52.2
13128,"Kínder",45.3
13129,"1° Básico",44
13129,"Kínder",47.8
13130,"1° Básico",46
13130,"Kínder",43.7
13131,"1° Básico",43.3
13131,"Kínder",44.2
13132,"1° Básico",38.8
13132,"Kínder",42.8
13201,"1° Básico",47.8
13201,"Kínder",44.1
13401,"1° Básico",45.2
13401,"Kínder",46.6
14101,"1° Básico",53.4
14101,"Kínder",52.8
15101,"1° Básico",44.7
15101,"Kínder",43.8
16101,"1° Básico",50.4
16101,"Kínder",50.6
16102,"1° Básico",45.9
16102,"Kínder",47.5
16103,"1° Básico",52.6
16103,"Kínder",44.6
16301,"1° Básico",56.7
16301,"Kínder",48.6
16305,"1° Básico",52.9
16305,"Kínder",40.3
