"agno";"city";"dato"
"2020";"Antofagasta";49,2
"2020";"Arica";49,3
"2020";"Chillán";55,5
"2020";"Copiapo";52,7
"2020";"Coyhaique";53
"2020";"Gran Concepcion";55,3
"2020";"Gran Coquimbo";53,6
"2020";"Gran Santiago";51,2
"2020";"Iquique - Alto Hospicio";52,2
"2020";"Puerto Montt - Varas";55,8
"2020";"Punta Arenas";50,6
"2020";"Rancagua - Machalí";51,7
"2020";"Talca - Maule";52,8
"2020";"Temuco";56,1
"2020";"Valdivia";51,7
"2020";"Valparaíso Metropolitano";52,7
