"agno";"city";"dato"
"2017";"Antofagasta";44,2
"2017";"Arica";44,3
"2017";"Chillán";50,5
"2017";"Copiapo";46,7
"2017";"Coyhaique";57,6
"2017";"Gran Concepcion";54,9
"2017";"Gran Coquimbo";47,4
"2017";"Gran Santiago";46,7
"2017";"Iquique - Alto Hospicio";45,5
"2017";"Puerto Montt - Varas";56,4
"2017";"Punta Arenas";57,5
"2017";"Rancagua - Machalí";46,4
"2017";"Talca - Maule";51,3
"2017";"Temuco";53,3
"2017";"Valdivia";53,1
"2017";"Valparaíso Metropolitano";48,1
