"agno";"city";"dato"
"2019";"Antofagasta";47,9
"2019";"Arica";47
"2019";"Chillán";53,6
"2019";"Copiapo";47,2
"2019";"Coyhaique";58,4
"2019";"Gran Concepcion";54,7
"2019";"Gran Coquimbo";51,7
"2019";"Gran Santiago";47,5
"2019";"Iquique - Alto Hospicio";51,6
"2019";"Puerto Montt - Varas";55,4
"2019";"Punta Arenas";54,3
"2019";"Rancagua - Machalí";49,1
"2019";"Talca - Maule";55
"2019";"Temuco";52,8
"2019";"Valdivia";50,7
"2019";"Valparaíso Metropolitano";50
