"agno";"city";"dato"
"2010";"Antofagasta";48,6
"2010";"Arica";46,6
"2010";"Chillán";49
"2010";"Copiapo";48,6
"2010";"Coyhaique";50,4
"2010";"Gran Concepcion";49,4
"2010";"Gran Coquimbo";48,4
"2010";"Gran Santiago";47
"2010";"Iquique - Alto Hospicio";47
"2010";"Puerto Montt - Varas";54
"2010";"Punta Arenas";50,8
"2010";"Rancagua - Machalí";44,8
"2010";"Talca - Maule";48,9
"2010";"Temuco";49
"2010";"Valdivia";52,3
"2010";"Valparaíso Metropolitano";47,7
