"comuna","nom_com","city","percent"
13121,"Pedro Aguirre Cerda","Gran Santiago",48
13122,"Peñalolén","Gran Santiago",47.9
13123,"Providencia","Gran Santiago",45.4
13124,"Pudahuel","Gran Santiago",49.7
13125,"Quilicura","Gran Santiago",43
13126,"Quinta Normal","Gran Santiago",50.4
13127,"Recoleta","Gran Santiago",49.3
13128,"Renca","Gran Santiago",49
13129,"San Joaquín","Gran Santiago",43.5
13130,"San Miguel","Gran Santiago",46
13131,"San Ramón","Gran Santiago",45.4
13132,"Vitacura","Gran Santiago",44.4
13201,"Puente Alto","Gran Santiago",47.3
13401,"San Bernardo","Gran Santiago",46.8
14101,"Valdivia","Valdivia",52.3
15101,"Arica","Arica",46.6
16101,"Chillán","Chillán",48.5
16102,"Bulnes","Chillán",50.2
16103,"Chillán Viejo","Chillán",50.7
16301,"San Carlos","Chillán",49.4
16305,"San Nicolás","Chillán",51.9
1101,"Iquique","Iquique - Alto Hospicio",44.6
1107,"Alto Hospicio","Iquique - Alto Hospicio",48.4
2101,"Antofagasta","Antofagasta",46.5
3101,"Copiapó","Copiapo",47.6
4101,"La Serena","Gran Coquimbo",48.8
4102,"Coquimbo","Gran Coquimbo",51
5101,"Valparaíso","Valparaíso Metropolitano",50.6
5103,"Concón","Valparaíso Metropolitano",51
5109,"Viña del Mar","Valparaíso Metropolitano",50
5801,"Quilpué","Valparaíso Metropolitano",44.6
5804,"Villa Alemana","Valparaíso Metropolitano",43.3
6101,"Rancagua","Rancagua - Machalí",51.2
6108,"Machalí","Rancagua - Machalí",44.2
7101,"Talca","Talca - Maule",51.3
7105,"Maule","Talca - Maule",51.1
8101,"Concepción","Gran Concepcion",51.2
8102,"Coronel","Gran Concepcion",51
8103,"Chiguayante","Gran Concepcion",53.8
8106,"Lota","Gran Concepcion",57.3
8107,"Penco","Gran Concepcion",48.9
8108,"San Pedro de la Paz","Gran Concepcion",47.8
8110,"Talcahuano","Gran Concepcion",50.2
8111,"Tomé","Gran Concepcion",53.4
8112,"Hualpén","Gran Concepcion",53.9
9101,"Temuco","Temuco",52.6
9112,"Padre Las Casas","Temuco",54.5
10101,"Puerto Montt","Puerto Montt - Varas",49.2
10109,"Puerto Varas","Puerto Montt - Varas",58.7
