"agno";"comuna";"nom_com";"city";"dato"
"2019";1101;"Iquique";"Iquique - Alto Hospicio";50,2
"2019";1107;"Alto Hospicio";"Iquique - Alto Hospicio";53,7
"2019";2101;"Antofagasta";"Antofagasta";47,9
"2019";3101;"Copiapó";"Copiapo";47,2
"2019";4101;"La Serena";"Gran Coquimbo";50
"2019";4102;"Coquimbo";"Gran Coquimbo";53,3
"2019";5101;"Valparaíso";"Valparaíso Metropolitano";50,6
"2019";5103;"Concón";"Valparaíso Metropolitano";48,4
"2019";5109;"Viña del Mar";"Valparaíso Metropolitano";49,2
"2019";5801;"Quilpué";"Valparaíso Metropolitano";48,3
"2019";5804;"Villa Alemana";"Valparaíso Metropolitano";53,2
"2019";6101;"Rancagua";"Rancagua - Machalí";48,8
"2019";6108;"Machalí";"Rancagua - Machalí";51
"2019";7101;"Talca";"Talca - Maule";54,8
"2019";7105;"Maule";"Talca - Maule";57,7
"2019";8101;"Concepción";"Gran Concepcion";51,6
"2019";8102;"Coronel";"Gran Concepcion";54,9
"2019";8103;"Chiguayante";"Gran Concepcion";57,8
"2019";8106;"Lota";"Gran Concepcion";60,5
"2019";8107;"Penco";"Gran Concepcion";52,3
"2019";8108;"San Pedro de la Paz";"Gran Concepcion";52,8
"2019";8110;"Talcahuano";"Gran Concepcion";55,9
"2019";8111;"Tomé";"Gran Concepcion";59
"2019";8112;"Hualpén";"Gran Concepcion";56,1
"2019";9101;"Temuco";"Temuco";51,8
"2019";9112;"Padre Las Casas";"Temuco";59,4
"2019";10101;"Puerto Montt";"Puerto Montt - Varas";55,5
"2019";10109;"Puerto Varas";"Puerto Montt - Varas";54,4
"2019";11101;"Coihaique";"Coyhaique";58,4
"2019";12101;"Punta Arenas";"Punta Arenas";54,3
"2019";13101;"Santiago";"Gran Santiago";43,9
"2019";13102;"Cerrillos";"Gran Santiago";49,1
"2019";13103;"Cerro Navia";"Gran Santiago";48,6
"2019";13104;"Conchalí";"Gran Santiago";45,7
"2019";13105;"El Bosque";"Gran Santiago";48,5
"2019";13106;"Estación Central";"Gran Santiago";46,1
"2019";13107;"Huechuraba";"Gran Santiago";55
"2019";13108;"Independencia";"Gran Santiago";44,1
"2019";13109;"La Cisterna";"Gran Santiago";44,2
"2019";13110;"La Florida";"Gran Santiago";45
"2019";13111;"La Granja";"Gran Santiago";51,7
"2019";13112;"La Pintana";"Gran Santiago";48,5
"2019";13113;"La Reina";"Gran Santiago";45,9
"2019";13114;"Las Condes";"Gran Santiago";48,1
"2019";13115;"Lo Barnechea";"Gran Santiago";45,1
"2019";13116;"Lo Espejo";"Gran Santiago";50,2
"2019";13117;"Lo Prado";"Gran Santiago";47,8
"2019";13118;"Macul";"Gran Santiago";44,2
"2019";13119;"Maipú";"Gran Santiago";48,8
"2019";13120;"Ñuñoa";"Gran Santiago";40,4
"2019";13121;"Pedro Aguirre Cerda";"Gran Santiago";48,8
"2019";13122;"Peñalolén";"Gran Santiago";51,3
"2019";13123;"Providencia";"Gran Santiago";43,8
"2019";13124;"Pudahuel";"Gran Santiago";51,9
"2019";13125;"Quilicura";"Gran Santiago";46,2
"2019";13126;"Quinta Normal";"Gran Santiago";47,4
"2019";13127;"Recoleta";"Gran Santiago";49,5
"2019";13128;"Renca";"Gran Santiago";49,6
"2019";13129;"San Joaquín";"Gran Santiago";46,7
"2019";13130;"San Miguel";"Gran Santiago";43,1
"2019";13131;"San Ramón";"Gran Santiago";53,2
"2019";13132;"Vitacura";"Gran Santiago";45,8
"2019";13201;"Puente Alto";"Gran Santiago";45,7
"2019";13401;"San Bernardo";"Gran Santiago";49,9
"2019";14101;"Valdivia";"Valdivia";50,7
"2019";15101;"Arica";"Arica";47
"2019";16101;"Chillán";"Chillán";52,6
"2019";16102;"Bulnes";"Chillán";53,8
"2019";16103;"Chillán Viejo";"Chillán";59,5
"2019";16301;"San Carlos";"Chillán";55,8
"2019";16305;"San Nicolás";"Chillán";54
