"agno";"comuna";"nom_com";"city";"dato"
"2016";1101;"Iquique";"Iquique - Alto Hospicio";48,4
"2016";1107;"Alto Hospicio";"Iquique - Alto Hospicio";49,8
"2016";2101;"Antofagasta";"Antofagasta";48,9
"2016";3101;"Copiapó";"Copiapo";48,9
"2016";4101;"La Serena";"Gran Coquimbo";49,7
"2016";4102;"Coquimbo";"Gran Coquimbo";49,7
"2016";5101;"Valparaíso";"Valparaíso Metropolitano";53,6
"2016";5103;"Concón";"Valparaíso Metropolitano";46,7
"2016";5109;"Viña del Mar";"Valparaíso Metropolitano";51,3
"2016";5801;"Quilpué";"Valparaíso Metropolitano";50
"2016";5804;"Villa Alemana";"Valparaíso Metropolitano";49,1
"2016";6101;"Rancagua";"Rancagua - Machalí";49,7
"2016";6108;"Machalí";"Rancagua - Machalí";47,5
"2016";7101;"Talca";"Talca - Maule";54,1
"2016";7105;"Maule";"Talca - Maule";52,3
"2016";8101;"Concepción";"Gran Concepcion";54,1
"2016";8102;"Coronel";"Gran Concepcion";54,3
"2016";8103;"Chiguayante";"Gran Concepcion";57,1
"2016";8106;"Lota";"Gran Concepcion";54,8
"2016";8107;"Penco";"Gran Concepcion";54,6
"2016";8108;"San Pedro de la Paz";"Gran Concepcion";53,1
"2016";8110;"Talcahuano";"Gran Concepcion";52,9
"2016";8111;"Tomé";"Gran Concepcion";56,8
"2016";8112;"Hualpén";"Gran Concepcion";58,6
"2016";9101;"Temuco";"Temuco";52,4
"2016";9112;"Padre Las Casas";"Temuco";54,7
"2016";10101;"Puerto Montt";"Puerto Montt - Varas";55,9
"2016";10109;"Puerto Varas";"Puerto Montt - Varas";59,8
"2016";11101;"Coihaique";"Coyhaique";50,2
"2016";12101;"Punta Arenas";"Punta Arenas";55
"2016";13101;"Santiago";"Gran Santiago";47
"2016";13102;"Cerrillos";"Gran Santiago";43,8
"2016";13103;"Cerro Navia";"Gran Santiago";53,2
"2016";13104;"Conchalí";"Gran Santiago";49,6
"2016";13105;"El Bosque";"Gran Santiago";50,2
"2016";13106;"Estación Central";"Gran Santiago";48,5
"2016";13107;"Huechuraba";"Gran Santiago";48,9
"2016";13108;"Independencia";"Gran Santiago";50,5
"2016";13109;"La Cisterna";"Gran Santiago";44,5
"2016";13110;"La Florida";"Gran Santiago";48
"2016";13111;"La Granja";"Gran Santiago";54,2
"2016";13112;"La Pintana";"Gran Santiago";53,4
"2016";13113;"La Reina";"Gran Santiago";43,8
"2016";13114;"Las Condes";"Gran Santiago";45,8
"2016";13115;"Lo Barnechea";"Gran Santiago";46,4
"2016";13116;"Lo Espejo";"Gran Santiago";48,7
"2016";13117;"Lo Prado";"Gran Santiago";46,9
"2016";13118;"Macul";"Gran Santiago";52,1
"2016";13119;"Maipú";"Gran Santiago";47,6
"2016";13120;"Ñuñoa";"Gran Santiago";48,3
"2016";13121;"Pedro Aguirre Cerda";"Gran Santiago";49,4
"2016";13122;"Peñalolén";"Gran Santiago";52,8
"2016";13123;"Providencia";"Gran Santiago";45,5
"2016";13124;"Pudahuel";"Gran Santiago";55,7
"2016";13125;"Quilicura";"Gran Santiago";52,5
"2016";13126;"Quinta Normal";"Gran Santiago";51,2
"2016";13127;"Recoleta";"Gran Santiago";50,8
"2016";13128;"Renca";"Gran Santiago";51,8
"2016";13129;"San Joaquín";"Gran Santiago";49,5
"2016";13130;"San Miguel";"Gran Santiago";45,7
"2016";13131;"San Ramón";"Gran Santiago";49,8
"2016";13132;"Vitacura";"Gran Santiago";41,2
"2016";13201;"Puente Alto";"Gran Santiago";47,4
"2016";13401;"San Bernardo";"Gran Santiago";48,7
"2016";14101;"Valdivia";"Valdivia";53,4
"2016";15101;"Arica";"Arica";45,3
"2016";16101;"Chillán";"Chillán";53,3
"2016";16102;"Bulnes";"Chillán";43,2
"2016";16103;"Chillán Viejo";"Chillán";56,5
"2016";16301;"San Carlos";"Chillán";54,7
"2016";16305;"San Nicolás";"Chillán";40,8
