"agno";"city";"tasa"
2016;"Antofagasta";82,8451145877814
2016;"Arica";72,6478058898779
2016;"Chillán";94,3351277655246
2016;"Copiapo";72,2257935692351
2016;"Coyhaique";70,8808090288992
2016;"Gran Concepcion";82,0587302356171
2016;"Gran Coquimbo";68,297292717147
2016;"Gran Santiago";74,9553204212358
2016;"Iquique - Alto Hospicio";81,3453018690929
2016;"Puerto Montt - Varas";68,6380532433152
2016;"Punta Arenas";82,4374951723017
2016;"Rancagua - Machalí";74,1319647333452
2016;"Talca - Maule";66,5901797915612
2016;"Temuco";82,9494345989195
2016;"Valdivia";79,2854548162403
2016;"Valparaíso Metropolitano";70,0766469372862
