"agno";"city";"tasa"
2014;"Antofagasta";98,6685471751325
2014;"Arica";59,9552687208161
2014;"Chillán";108,255874518283
2014;"Copiapo";65,2124673685353
2014;"Coyhaique";54,4119737840678
2014;"Gran Concepcion";91,0477196904545
2014;"Gran Coquimbo";65,3973067435169
2014;"Gran Santiago";79,4547771598664
2014;"Iquique - Alto Hospicio";98,9069556234918
2014;"Puerto Montt - Varas";70,2118867026679
2014;"Punta Arenas";92,9614355926595
2014;"Rancagua - Machalí";84,9224716752814
2014;"Talca - Maule";75,1775219810628
2014;"Temuco";85,0798073403947
2014;"Valdivia";85,8715925691712
2014;"Valparaíso Metropolitano";77,21342698423
