"agno";"city";"tasa"
2006;"Antofagasta";92,7163563581077
2006;"Arica";64,4918269458022
2006;"Chillán";100,104392490729
2006;"Copiapo";66,7940950418074
2006;"Coyhaique";87,3153333970957
2006;"Gran Concepcion";81,1920389515223
2006;"Gran Coquimbo";57,9086118971804
2006;"Gran Santiago";74,191299453677
2006;"Iquique - Alto Hospicio";72,7095057122091
2006;"Puerto Montt - Varas";88,0568183632149
2006;"Punta Arenas";105,761855278436
2006;"Rancagua - Machalí";89,3132856756572
2006;"Talca - Maule";81,0330111637194
2006;"Temuco";78,771207187884
2006;"Valdivia";88,7892597898859
2006;"Valparaíso Metropolitano";79,6843944145457
