"agno";"city";"tasa"
2013;"Antofagasta";88,2713216241769
2013;"Arica";78,5749723001358
2013;"Chillán";89,2780759963204
2013;"Copiapo";67,4183112692393
2013;"Coyhaique";71,3580115022941
2013;"Gran Concepcion";88,271883373891
2013;"Gran Coquimbo";70,4677602410986
2013;"Gran Santiago";77,5670279103775
2013;"Iquique - Alto Hospicio";85,9552168833656
2013;"Puerto Montt - Varas";80,0905348945405
2013;"Punta Arenas";71,6845886235854
2013;"Rancagua - Machalí";78,7226844366171
2013;"Talca - Maule";80,0441807404564
2013;"Temuco";83,2469081187487
2013;"Valdivia";67,8849110325861
2013;"Valparaíso Metropolitano";82,3862444870179
