"agno";"city";"tasa"
2012;"Antofagasta";85,100150750762
2012;"Arica";62,0453838864967
2012;"Chillán";91,0385860438017
2012;"Copiapo";81,6203447065974
2012;"Coyhaique";83,3861706812028
2012;"Gran Concepcion";84,6251753622533
2012;"Gran Coquimbo";65,8622650311278
2012;"Gran Santiago";73,6968988071704
2012;"Iquique - Alto Hospicio";82,3271848305393
2012;"Puerto Montt - Varas";69,5797085603715
2012;"Punta Arenas";88,5325115063334
2012;"Rancagua - Machalí";90,7070324726708
2012;"Talca - Maule";79,2239132317492
2012;"Temuco";74,8956920738276
2012;"Valdivia";66,7338464268707
2012;"Valparaíso Metropolitano";80,9132796310449
