"agno";"city";"tasa"
2003;"Antofagasta";93,7181455697752
2003;"Arica";76,7179880726445
2003;"Chillán";107,873091886702
2003;"Copiapo";80,4582677701965
2003;"Coyhaique";70,9874782939064
2003;"Gran Concepcion";102,211968363707
2003;"Gran Coquimbo";74,2664561351052
2003;"Gran Santiago";77,6058266331646
2003;"Iquique - Alto Hospicio";80,8775422269325
2003;"Puerto Montt - Varas";80,9342770622853
2003;"Punta Arenas";114,705524692335
2003;"Rancagua - Machalí";113,574699364219
2003;"Talca - Maule";99,0895808421708
2003;"Temuco";97,1250647030442
2003;"Valdivia";94,2523857309432
2003;"Valparaíso Metropolitano";94,0523167459374
