"agno";"city";"tasa"
2018;"Antofagasta";85,9169322480024
2018;"Arica";69,7506633144305
2018;"Chillán";82,3767254324978
2018;"Copiapo";74,5023559134865
2018;"Coyhaique";52,5758686545677
2018;"Gran Concepcion";83,9134379616494
2018;"Gran Coquimbo";66,9023033061596
2018;"Gran Santiago";71,1570578010908
2018;"Iquique - Alto Hospicio";71,4698286866769
2018;"Puerto Montt - Varas";70,3685819291459
2018;"Punta Arenas";81,2760397954537
2018;"Rancagua - Machalí";76,8320310528731
2018;"Talca - Maule";66,6676386149883
2018;"Temuco";70,3608131266216
2018;"Valdivia";56,400627821893
2018;"Valparaíso Metropolitano";69,0121701891809
