"city","tasa"
"Punta Arenas",71.6845886235854
"Rancagua - Machalí",78.7226844366171
"Talca - Maule",80.0441807404564
"Temuco",83.2469081187487
"Valdivia",67.8849110325861
"Valparaíso Metropolitano",82.3862444870179
"Antofagasta",98.6685471751325
"Arica",59.9552687208161
"Chillán",108.255874518283
"Copiapo",65.2124673685353
"Coyhaique",54.4119737840678
"Gran Concepcion",91.0477196904545
"Gran Coquimbo",65.3973067435169
"Gran Santiago",79.4547771598664
"Iquique - Alto Hospicio",98.9069556234918
"Puerto Montt - Varas",70.2118867026679
"Punta Arenas",92.9614355926595
"Rancagua - Machalí",84.9224716752814
"Talca - Maule",75.1775219810628
"Temuco",85.0798073403947
"Valdivia",85.8715925691712
"Valparaíso Metropolitano",77.21342698423
"Antofagasta",101.416495244987
"Arica",56.7222313668378
"Chillán",96.0516633562945
"Copiapo",60.7042767136569
"Coyhaique",64.0331909113323
"Gran Concepcion",83.8101505097065
"Gran Coquimbo",65.314342123897
"Gran Santiago",78.3115609680772
"Iquique - Alto Hospicio",85.6917724412363
"Puerto Montt - Varas",66.9342142022054
"Punta Arenas",75.7255009670073
"Rancagua - Machalí",86.3858484696047
"Talca - Maule",69.5696377543134
"Temuco",79.5324269022722
"Valdivia",70.9049472474224
"Valparaíso Metropolitano",71.5631382976298
"Antofagasta",82.8451145877814
"Arica",72.6478058898779
"Chillán",94.3351277655246
"Copiapo",72.2257935692351
"Coyhaique",70.8808090288992
"Gran Concepcion",82.0587302356171
"Gran Coquimbo",68.297292717147
"Gran Santiago",74.9553204212358
"Iquique - Alto Hospicio",81.3453018690929
"Puerto Montt - Varas",68.6380532433152
"Punta Arenas",82.4374951723017
"Rancagua - Machalí",74.1319647333452
"Talca - Maule",66.5901797915612
"Temuco",82.9494345989195
"Valdivia",79.2854548162403
"Valparaíso Metropolitano",70.0766469372862
"Antofagasta",89.2436860705667
"Arica",69.3518546697907
"Chillán",81.1074337961255
"Copiapo",64.5424806279352
"Coyhaique",81.121008563197
"Gran Concepcion",79.0320763044482
"Gran Coquimbo",71.3096700213609
"Gran Santiago",73.1892113021018
"Iquique - Alto Hospicio",79.3847386749202
"Puerto Montt - Varas",68.3589337635592
"Punta Arenas",76.6290109159567
"Rancagua - Machalí",77.9654791477716
"Talca - Maule",66.1675394027539
"Temuco",71.4160230752349
"Valdivia",73.8380401320347
"Valparaíso Metropolitano",78.6161363956144
"Antofagasta",85.9169322480024
"Arica",69.7506633144305
"Chillán",82.3767254324978
"Copiapo",74.5023559134865
"Coyhaique",52.5758686545677
"Gran Concepcion",83.9134379616494
"Gran Coquimbo",66.9023033061596
"Gran Santiago",71.1570578010908
"Iquique - Alto Hospicio",71.4698286866769
"Puerto Montt - Varas",70.3685819291459
"Punta Arenas",81.2760397954537
"Rancagua - Machalí",76.8320310528731
"Talca - Maule",66.6676386149883
"Temuco",70.3608131266216
"Valdivia",56.400627821893
"Valparaíso Metropolitano",69.0121701891809
"Antofagasta",76.6014484144518
"Arica",65.3663128524587
"Chillán",92.1905577452082
"Copiapo",74.4072201046521
"Coyhaique",65.3254616048658
"Gran Concepcion",81.8738272691296
"Gran Coquimbo",66.8135655616874
"Gran Santiago",74.2774895373804
"Iquique - Alto Hospicio",72.1185461350657
"Puerto Montt - Varas",67.7340707425805
"Punta Arenas",88.8403034579386
"Rancagua - Machalí",83.093924911438
"Talca - Maule",66.9927579443413
"Temuco",76.2354716491274
"Valdivia",66.0705258106212
"Valparaíso Metropolitano",76.1713016582235
"Antofagasta",70.7937026911042
"Arica",70.3263622852158
"Chillán",88.7687782196636
"Copiapo",66.2558109925578
