"agno";"city";"tasa"
2015;"Antofagasta";101,416495244987
2015;"Arica";56,7222313668378
2015;"Chillán";96,0516633562945
2015;"Copiapo";60,7042767136569
2015;"Coyhaique";64,0331909113323
2015;"Gran Concepcion";83,8101505097065
2015;"Gran Coquimbo";65,314342123897
2015;"Gran Santiago";78,3115609680772
2015;"Iquique - Alto Hospicio";85,6917724412363
2015;"Puerto Montt - Varas";66,9342142022054
2015;"Punta Arenas";75,7255009670073
2015;"Rancagua - Machalí";86,3858484696047
2015;"Talca - Maule";69,5696377543134
2015;"Temuco";79,5324269022722
2015;"Valdivia";70,9049472474224
2015;"Valparaíso Metropolitano";71,5631382976298
