"agno";"city";"tasa"
2019;"Antofagasta";76,6014484144518
2019;"Arica";65,3663128524587
2019;"Chillán";92,1905577452082
2019;"Copiapo";74,4072201046521
2019;"Coyhaique";65,3254616048658
2019;"Gran Concepcion";81,8738272691296
2019;"Gran Coquimbo";66,8135655616874
2019;"Gran Santiago";74,2774895373804
2019;"Iquique - Alto Hospicio";72,1185461350657
2019;"Puerto Montt - Varas";67,7340707425805
2019;"Punta Arenas";88,8403034579386
2019;"Rancagua - Machalí";83,093924911438
2019;"Talca - Maule";66,9927579443413
2019;"Temuco";76,2354716491274
2019;"Valdivia";66,0705258106212
2019;"Valparaíso Metropolitano";76,1713016582235
