"agno";"city";"tasa"
2017;"Antofagasta";89,2436860705667
2017;"Arica";69,3518546697907
2017;"Chillán";81,1074337961255
2017;"Copiapo";64,5424806279352
2017;"Coyhaique";81,121008563197
2017;"Gran Concepcion";79,0320763044482
2017;"Gran Coquimbo";71,3096700213609
2017;"Gran Santiago";73,1892113021018
2017;"Iquique - Alto Hospicio";79,3847386749202
2017;"Puerto Montt - Varas";68,3589337635592
2017;"Punta Arenas";76,6290109159567
2017;"Rancagua - Machalí";77,9654791477716
2017;"Talca - Maule";66,1675394027539
2017;"Temuco";71,4160230752349
2017;"Valdivia";73,8380401320347
2017;"Valparaíso Metropolitano";78,6161363956144
