"agno";"city";"comuna";"tasa"
2007;"Antofagasta";2101;99,9717187796323
2007;"Arica";15101;59,3396691682027
2007;"Chillán";16101;82,4675847604973
2007;"Chillán";16102;75,4530293843277
2007;"Chillán";16103;65,0016788753061
2007;"Chillán";16301;83,8052709705352
2007;"Chillán";16305;37,4888640279656
2007;"Copiapo";3101;65,1601480954971
2007;"Coyhaique";11101;67,0920694774333
2007;"Gran Concepcion";8101;77,1031712362252
2007;"Gran Concepcion";8102;73,7188006995556
2007;"Gran Concepcion";8103;80,8487479867852
2007;"Gran Concepcion";8106;149,356334685488
2007;"Gran Concepcion";8107;52,9302119366299
2007;"Gran Concepcion";8108;78,1955211731191
2007;"Gran Concepcion";8110;85,2673969835263
2007;"Gran Concepcion";8111;72,313017726873
2007;"Gran Concepcion";8112;94,4965920603577
2007;"Gran Coquimbo";4101;70,2601412175817
2007;"Gran Coquimbo";4102;66,5036928011083
2007;"Gran Santiago";13101;71,0410301156158
2007;"Gran Santiago";13102;59,6914675966674
2007;"Gran Santiago";13103;104,376699722176
2007;"Gran Santiago";13104;70,1675809121948
2007;"Gran Santiago";13105;76,3737887391599
2007;"Gran Santiago";13106;96,4513796086878
2007;"Gran Santiago";13107;74,5880221997867
2007;"Gran Santiago";13108;114,54534457825
2007;"Gran Santiago";13109;91,8576445978519
2007;"Gran Santiago";13110;63,9327049208752
2007;"Gran Santiago";13111;70,1615824580349
2007;"Gran Santiago";13112;76,5716599600516
2007;"Gran Santiago";13113;55,4420995272143
2007;"Gran Santiago";13114;38,0811434150782
2007;"Gran Santiago";13115;46,6795077915628
2007;"Gran Santiago";13116;83,1270156748777
2007;"Gran Santiago";13117;84,8492106006678
2007;"Gran Santiago";13118;46,3539255741741
2007;"Gran Santiago";13119;63,7576457332691
2007;"Gran Santiago";13120;55,659008628844
2007;"Gran Santiago";13121;65,6326798519317
2007;"Gran Santiago";13122;75,8705707146868
2007;"Gran Santiago";13123;57,9289236699193
2007;"Gran Santiago";13124;69,3111492413196
2007;"Gran Santiago";13125;67,6301506874197
2007;"Gran Santiago";13126;87,3198062835453
2007;"Gran Santiago";13127;92,4658267340646
2007;"Gran Santiago";13128;85,6552744888934
2007;"Gran Santiago";13129;79,8200695463999
2007;"Gran Santiago";13130;90,0670922688595
2007;"Gran Santiago";13131;96,3323040468675
2007;"Gran Santiago";13132;38,1205660737784
2007;"Gran Santiago";13201;71,649635345642
2007;"Gran Santiago";13401;84,5420277974028
2007;"Iquique - Alto Hospicio";1101;64,0343087149752
2007;"Iquique - Alto Hospicio";1107;56,6396531876968
2007;"Puerto Montt - Varas";10101;82,3263227834431
2007;"Puerto Montt - Varas";10109;88,4253636039276
2007;"Punta Arenas";12101;96,1267705527849
2007;"Rancagua - Machalí";6101;84,6064999382073
2007;"Rancagua - Machalí";6108;68,5848961022774
2007;"Talca - Maule";7101;76,113356171193
2007;"Talca - Maule";7105;74,2908707064809
2007;"Temuco";9101;75,080199906241
2007;"Temuco";9112;70,822541413729
2007;"Valdivia";14101;75,7364377268302
2007;"Valparaíso Metropolitano";5101;98,5006744994026
2007;"Valparaíso Metropolitano";5103;61,2931152853644
2007;"Valparaíso Metropolitano";5109;69,6490046170158
2007;"Valparaíso Metropolitano";5801;81,5475400055932
2007;"Valparaíso Metropolitano";5804;71,6716424838992
