"city","comuna","tasa"
"Gran Santiago",13102,84.330594231613
"Gran Santiago",13103,80.5699472435677
"Gran Santiago",13104,77.6360300563228
"Gran Santiago",13105,83.4164429239703
"Gran Santiago",13106,97.5016289781395
"Gran Santiago",13107,70.7446056971323
"Gran Santiago",13108,138.19999775568
"Gran Santiago",13109,58.772671553651
"Gran Santiago",13110,72.5878413251787
"Gran Santiago",13111,83.5002642215299
"Gran Santiago",13112,96.5351711692279
"Gran Santiago",13113,56.8568444380237
"Gran Santiago",13114,46.540370412416
"Gran Santiago",13115,63.4138888922094
"Gran Santiago",13116,93.3885342801495
"Gran Santiago",13117,82.4927985051394
"Gran Santiago",13118,52.5848772449018
"Gran Santiago",13119,62.3945981876417
"Gran Santiago",13120,53.2841682685623
"Gran Santiago",13121,64.2823708020885
"Gran Santiago",13122,75.8210996872373
"Gran Santiago",13123,61.1921918548169
"Gran Santiago",13124,75.1211314240006
"Gran Santiago",13125,75.1804650653564
"Gran Santiago",13126,88.8548399918405
"Gran Santiago",13127,95.9942544229305
"Gran Santiago",13128,90.8898597822705
"Gran Santiago",13129,73.9656885902062
"Gran Santiago",13130,83.4953680615774
"Gran Santiago",13131,74.1982766215351
"Gran Santiago",13132,38.4518009027525
"Gran Santiago",13201,81.4594943842094
"Gran Santiago",13401,91.8646652286046
"Iquique - Alto Hospicio",1101,101.052338058178
"Iquique - Alto Hospicio",1107,3.67637588944285
"Puerto Montt - Varas",10101,74.6730934036408
"Puerto Montt - Varas",10109,62.5898710962205
"Punta Arenas",12101,107.883469360933
"Rancagua - Machalí",6101,82.2982049573978
"Rancagua - Machalí",6108,73.8999714375031
"Talca - Maule",7101,157.41468174021
"Talca - Maule",7105,68.9278051736906
"Temuco",9101,81.5281963342646
"Temuco",9112,67.5782892241721
"Valdivia",14101,87.7304861813636
"Valparaíso Metropolitano",5101,102.398087067348
"Valparaíso Metropolitano",5103,49.631782302416
"Valparaíso Metropolitano",5109,72.6059941962783
"Valparaíso Metropolitano",5801,92.5184349690554
"Valparaíso Metropolitano",5804,74.1570505280995
"Antofagasta",2101,87.9537014930345
"Arica",15101,76.5506067487498
"Chillán",16101,89.6704422092488
"Chillán",16102,104.452653261093
"Chillán",16103,65.8133833952487
"Chillán",16301,91.3116491937023
"Chillán",16305,100.634026507176
"Copiapo",3101,74.2108879881283
"Coyhaique",11101,80.9259934456636
"Gran Concepcion",8101,78.8463903303278
"Gran Concepcion",8102,75.6497813017891
"Gran Concepcion",8103,79.0340914565534
"Gran Concepcion",8106,101.279455491395
"Gran Concepcion",8107,76.6605084018894
"Gran Concepcion",8108,57.4831343412221
"Gran Concepcion",8110,84.7093887445858
"Gran Concepcion",8111,82.8772011578829
"Gran Concepcion",8112,74.9495771862287
"Gran Coquimbo",4101,67.0956579312568
"Gran Coquimbo",4102,72.8435273072854
"Gran Santiago",13101,74.1301325860419
"Gran Santiago",13102,75.8908588834487
"Gran Santiago",13103,83.6285736592591
"Gran Santiago",13104,75.5152564709114
"Gran Santiago",13105,77.0679446900575
"Gran Santiago",13106,89.5134064303096
"Gran Santiago",13107,61.5104966150554
"Gran Santiago",13108,106.555295318801
"Gran Santiago",13109,59.8874113056502
"Gran Santiago",13110,67.7913694330846
"Gran Santiago",13111,65.3830340826702
"Gran Santiago",13112,83.1054122774019
"Gran Santiago",13113,48.1313077873326
"Gran Santiago",13114,43.4277459921255
"Gran Santiago",13115,36.0952605190264
"Gran Santiago",13116,82.6237626931713
"Gran Santiago",13117,54.1551830779096
"Gran Santiago",13118,59.3476867884485
"Gran Santiago",13119,58.1686917948854
"Gran Santiago",13120,55.9874786996854
"Gran Santiago",13121,80.8267346484998
"Gran Santiago",13122,68.4039307839873
"Gran Santiago",13123,60.7739767826453
"Gran Santiago",13124,85.9172324729752
"Gran Santiago",13125,73.6376957611334
"Gran Santiago",13126,68.7305527307387
"Gran Santiago",13127,71.6882607543457
"Gran Santiago",13128,97.0853966178974
"Gran Santiago",13129,61.5115564048736
"Gran Santiago",13130,82.6201980772257
"Gran Santiago",13131,77.8388018348546
"Gran Santiago",13132,28.5245192575553
"Gran Santiago",13201,67.2936133171396
"Gran Santiago",13401,83.4852371213294
"Iquique - Alto Hospicio",1101,79.8515488429458
"Iquique - Alto Hospicio",1107,62.1337486306975
"Puerto Montt - Varas",10101,98.2490709126369
"Puerto Montt - Varas",10109,58.5321905367552
"Punta Arenas",12101,104.667045393117
"Rancagua - Machalí",6101,81.2284924984948
"Rancagua - Machalí",6108,71.2732534541866
"Talca - Maule",7101,76.446943594957
"Talca - Maule",7105,33.6689792285746
"Temuco",9101,72.0750153178816
"Temuco",9112,92.1704863632802
"Valdivia",14101,72.0065111510955
"Valparaíso Metropolitano",5101,99.3535864352899
"Valparaíso Metropolitano",5103,67.6391544088204
"Valparaíso Metropolitano",5109,72.2470013332559
"Valparaíso Metropolitano",5801,61.4245959382029
"Valparaíso Metropolitano",5804,84.52532568647
"Antofagasta",2101,92.7163563581077
"Arica",15101,64.4918269458022
"Chillán",16101,86.2734924857274
"Chillán",16102,108.008792197954
"Chillán",16103,64.4312858037545
"Chillán",16301,85.6750027687284
"Chillán",16305,88.5241767894567
"Copiapo",3101,66.7940950418074
"Coyhaique",11101,87.3153333970957
"Gran Concepcion",8101,77.0727002010144
"Gran Concepcion",8102,63.9637991741396
"Gran Concepcion",8103,79.3357782135265
"Gran Concepcion",8106,65.8805557173351
"Gran Concepcion",8107,69.1600763334673
"Gran Concepcion",8108,69.6738356733401
"Gran Concepcion",8110,83.6977928522078
"Gran Concepcion",8111,54.4055032659107
"Gran Concepcion",8112,76.4867393876127
"Gran Coquimbo",4101,60.0913165204674
"Gran Coquimbo",4102,50.9363642165192
"Gran Santiago",13101,67.3199633353141
"Gran Santiago",13102,65.4304487250986
"Gran Santiago",13103,94.5845015019688
"Gran Santiago",13104,71.5727663642983
"Gran Santiago",13105,79.2602898178456
"Gran Santiago",13106,97.8931368173561
"Gran Santiago",13107,88.3203784823006
"Gran Santiago",13108,117.009961221055
"Gran Santiago",13109,76.7254066673365
"Gran Santiago",13110,59.3400650621157
"Gran Santiago",13111,72.3894160133661
"Gran Santiago",13112,92.2689301526931
"Gran Santiago",13113,56.8601686534741
"Gran Santiago",13114,42.64123446963
"Gran Santiago",13115,50.6264641269565
"Gran Santiago",13116,83.6467752033198
"Gran Santiago",13117,70.8380307400261
"Gran Santiago",13118,55.5733572472492
"Gran Santiago",13119,56.7118001124932
"Gran Santiago",13120,54.5976838365323
"Gran Santiago",13121,76.489950771247
"Gran Santiago",13122,79.0407917879835
"Gran Santiago",13123,54.6508780266767
"Gran Santiago",13124,79.6656019068025
"Gran Santiago",13125,73.8400495472021
"Gran Santiago",13126,92.0947395096942
"Gran Santiago",13127,78.8748956339511
"Gran Santiago",13128,86.4451781875161
"Gran Santiago",13129,64.9138259756602
"Gran Santiago",13130,80.7385824324449
"Gran Santiago",13131,80.7757974041911
"Gran Santiago",13132,42.2076604826942
"Gran Santiago",13201,62.8370042830252
"Gran Santiago",13401,85.8292955699789
"Iquique - Alto Hospicio",1101,76.5034566492162
"Iquique - Alto Hospicio",1107,43.591545444598
"Puerto Montt - Varas",10101,86.4592517275487
"Puerto Montt - Varas",10109,62.1836759872457
"Punta Arenas",12101,105.761855278436
"Rancagua - Machalí",6101,87.0437833869619
"Rancagua - Machalí",6108,63.3157812501855
"Talca - Maule",7101,77.9440189948714
"Talca - Maule",7105,77.7873287606636
"Temuco",9101,81.0977968768743
"Temuco",9112,59.8549841878006
"Valdivia",14101,88.7892597898859
"Valparaíso Metropolitano",5101,90.2406079682372
"Valparaíso Metropolitano",5103,57.0284963297897
"Valparaíso Metropolitano",5109,70.1898379609392
"Valparaíso Metropolitano",5801,68.3312209494104
"Valparaíso Metropolitano",5804,69.0621919326039
"Antofagasta",2101,99.9717187796323
"Arica",15101,59.3396691682027
"Chillán",16101,82.4675847604973
"Chillán",16102,75.4530293843277
"Chillán",16103,65.0016788753061
"Chillán",16301,83.8052709705352
"Chillán",16305,37.4888640279656
"Copiapo",3101,65.1601480954971
"Coyhaique",11101,67.0920694774333
"Gran Concepcion",8101,77.1031712362252
"Gran Concepcion",8102,73.7188006995556
"Gran Concepcion",8103,80.8487479867852
"Gran Concepcion",8106,149.356334685488
