"agno";"city";"comuna";"tasa"
2017;"Antofagasta";2101;89,2436860705667
2017;"Arica";15101;69,3518546697907
2017;"Chillán";16101;68,1463834911332
2017;"Chillán";16102;59,3338468119619
2017;"Chillán";16103;57,021664160465
2017;"Chillán";16301;84,0298030557248
2017;"Chillán";16305;66,556230732596
2017;"Copiapo";3101;64,5424806279352
2017;"Coyhaique";11101;81,121008563197
2017;"Gran Concepcion";8101;64,0177436233269
2017;"Gran Concepcion";8102;78,0254344233589
2017;"Gran Concepcion";8103;66,3232743821484
2017;"Gran Concepcion";8106;96,0332579772299
2017;"Gran Concepcion";8107;79,4705462952829
2017;"Gran Concepcion";8108;61,4297208715554
2017;"Gran Concepcion";8110;89,9684881364962
2017;"Gran Concepcion";8111;62,3472450728324
2017;"Gran Concepcion";8112;65,0642963037192
2017;"Gran Coquimbo";4101;61,065423322095
2017;"Gran Coquimbo";4102;75,9746659371963
2017;"Gran Santiago";13101;61,7334468084561
2017;"Gran Santiago";13102;56,1721038308116
2017;"Gran Santiago";13103;93,1472498997752
2017;"Gran Santiago";13104;73,7455169714662
2017;"Gran Santiago";13105;80,7724421309845
2017;"Gran Santiago";13106;70,5061852048398
2017;"Gran Santiago";13107;70,9708559246769
2017;"Gran Santiago";13108;123,355327568276
2017;"Gran Santiago";13109;89,5950488962142
2017;"Gran Santiago";13110;58,3747628456403
2017;"Gran Santiago";13111;85,9136021759794
2017;"Gran Santiago";13112;87,0240653604983
2017;"Gran Santiago";13113;39,0416808147043
2017;"Gran Santiago";13114;32,0760525439505
2017;"Gran Santiago";13115;36,3067212568433
2017;"Gran Santiago";13116;108,282549786961
2017;"Gran Santiago";13117;74,0995791267209
2017;"Gran Santiago";13118;55,1084481001812
2017;"Gran Santiago";13119;59,0705201324162
2017;"Gran Santiago";13120;43,7280370254788
2017;"Gran Santiago";13121;84,659401429688
2017;"Gran Santiago";13122;66,0694380768971
2017;"Gran Santiago";13123;51,2687911376216
2017;"Gran Santiago";13124;63,0616924905092
2017;"Gran Santiago";13125;70,6698511607375
2017;"Gran Santiago";13126;67,4042331556475
2017;"Gran Santiago";13127;79,2505983608929
2017;"Gran Santiago";13128;88,8588788034941
2017;"Gran Santiago";13129;92,3341873651403
2017;"Gran Santiago";13130;88,88210469691
2017;"Gran Santiago";13131;79,5149034026355
2017;"Gran Santiago";13132;31,8717168614411
2017;"Gran Santiago";13201;70,5246269287104
2017;"Gran Santiago";13401;88,1849100706543
2017;"Iquique - Alto Hospicio";1101;77,6195867994514
2017;"Iquique - Alto Hospicio";1107;68,7913153463949
2017;"Puerto Montt - Varas";10101;59,0329426115061
2017;"Puerto Montt - Varas";10109;72,3788492963112
2017;"Punta Arenas";12101;76,6290109159567
2017;"Rancagua - Machalí";6101;73,3224242095513
2017;"Rancagua - Machalí";6108;57,5205467927685
2017;"Talca - Maule";7101;63,5767275889342
2017;"Talca - Maule";7105;55,8027011605548
2017;"Temuco";9101;68,721746187122
2017;"Temuco";9112;81,3734019719101
2017;"Valdivia";14101;73,8380401320347
2017;"Valparaíso Metropolitano";5101;85,7232240607034
2017;"Valparaíso Metropolitano";5103;66,8026006444605
2017;"Valparaíso Metropolitano";5109;64,5413348488551
2017;"Valparaíso Metropolitano";5801;70,2397281039777
2017;"Valparaíso Metropolitano";5804;59,1615917174961
