"agno";"city";"AVPP"
2003;"Antofagasta";5243,66538212325
2003;"Arica";4898,64864864865
2003;"Chillán";5757,29695551593
2003;"Copiapo";4247,58303416285
2003;"Coyhaique";5863,42509831963
2003;"Gran Concepcion";5675,83255472929
2003;"Gran Coquimbo";3985,43149499889
2003;"Gran Santiago";4417,02479730621
2003;"Iquique - Alto Hospicio";7082,16870592155
2003;"Puerto Montt - Varas";5429,15249189071
2003;"Punta Arenas";6341,79939733104
2003;"Rancagua - Machalí";6554,31705952269
2003;"Talca - Maule";5160,53484382234
2003;"Temuco";5270,98886028127
2003;"Valdivia";5375,26074555491
2003;"Valparaíso Metropolitano";4639,20852238317
