"agno";"city";"AVPP"
2011;"Antofagasta";4922,60977700508
2011;"Arica";5186,56367386927
2011;"Chillán";4634,83597913859
2011;"Copiapo";5415,41814219559
2011;"Coyhaique";5860,57201225741
2011;"Gran Concepcion";4243,55530170453
2011;"Gran Coquimbo";4042,73328887293
2011;"Gran Santiago";4257,50766873708
2011;"Iquique - Alto Hospicio";4825,30421612588
2011;"Puerto Montt - Varas";5109,8295958638
2011;"Punta Arenas";5642,13185479241
2011;"Rancagua - Machalí";5041,08191619511
2011;"Talca - Maule";4379,19359803016
2011;"Temuco";4794,43447037702
2011;"Valdivia";4470,61611686405
2011;"Valparaíso Metropolitano";4471,0482158915
