"agno";"city";"AVPP"
2002;"Antofagasta";5719,84799725647
2002;"Arica";5363,76992980356
2002;"Chillán";5688,84312491658
2002;"Copiapo";4869,37811352527
2002;"Coyhaique";6334,98769317677
2002;"Gran Concepcion";5475,95461554959
2002;"Gran Coquimbo";4420,78309247616
2002;"Gran Santiago";4546,21063333515
2002;"Iquique - Alto Hospicio";7040,87748741309
2002;"Puerto Montt - Varas";6243,92020432905
2002;"Punta Arenas";5982,61742758704
2002;"Rancagua - Machalí";5324,40158230589
2002;"Talca - Maule";5043,18866773396
2002;"Temuco";4948,09111912083
2002;"Valdivia";5694,17694692451
2002;"Valparaíso Metropolitano";4416,59209941744
