"agno";"city";"AVPP"
2010;"Antofagasta";5148,14951025462
2010;"Arica";4706,65827262644
2010;"Chillán";5218,97889073742
2010;"Copiapo";4699,83084199261
2010;"Coyhaique";4459,91234854344
2010;"Gran Concepcion";4911,22462268656
2010;"Gran Coquimbo";4186,04651162791
2010;"Gran Santiago";4302,04505090647
2010;"Iquique - Alto Hospicio";4558,56543304082
2010;"Puerto Montt - Varas";5307,07597107575
2010;"Punta Arenas";5966,08041238817
2010;"Rancagua - Machalí";4899,51536669588
2010;"Talca - Maule";4925,48928219192
2010;"Temuco";4587,7103141154
2010;"Valdivia";5586,2986365148
2010;"Valparaíso Metropolitano";4498,93422601892
