"agno";"city";"AVPP"
2006;"Antofagasta";4923,70169023082
2006;"Arica";4792,0040671499
2006;"Chillán";5520,45326451307
2006;"Copiapo";4672,19346726321
2006;"Coyhaique";4905,83406850524
2006;"Gran Concepcion";4702,77464839917
2006;"Gran Coquimbo";3881,87555071418
2006;"Gran Santiago";4306,90739598009
2006;"Iquique - Alto Hospicio";4743,35576831139
2006;"Puerto Montt - Varas";6396,55276114209
2006;"Punta Arenas";5750,27335836646
2006;"Rancagua - Machalí";5330,50218650837
2006;"Talca - Maule";4139,1353182229
2006;"Temuco";4986,57159460351
2006;"Valdivia";4954,3135980979
2006;"Valparaíso Metropolitano";4537,08816491809
