"agno";"city";"AVPP"
2014;"Antofagasta";4798,19557005544
2014;"Arica";4705,53067112056
2014;"Chillán";4294,54521229037
2014;"Copiapo";4431,60176003152
2014;"Coyhaique";4596,9198848087
2014;"Gran Concepcion";4398,21388780874
2014;"Gran Coquimbo";4082,97757200409
2014;"Gran Santiago";4117,88158920321
2014;"Iquique - Alto Hospicio";4860,13373945314
2014;"Puerto Montt - Varas";4789,29838534502
2014;"Punta Arenas";4905,73932074379
2014;"Rancagua - Machalí";4834,21774279711
2014;"Talca - Maule";3923,50002364029
2014;"Temuco";4387,78189456487
2014;"Valdivia";4551,21963718356
2014;"Valparaíso Metropolitano";4028,57456266829
