"agno";"city";"AVPP"
2020;"Antofagasta";3947,46860470543
2020;"Arica";4518,99782002886
2020;"Chillán";4343,83366023773
2020;"Copiapo";3480,34415436444
2020;"Coyhaique";4573,85870508592
2020;"Gran Concepcion";3828,8562962012
2020;"Gran Coquimbo";3563,41147962597
2020;"Gran Santiago";3964,32720521082
2020;"Iquique - Alto Hospicio";3872,3599225528
2020;"Puerto Montt - Varas";3842,76367651999
2020;"Punta Arenas";4277,41273880512
2020;"Rancagua - Machalí";4515,09272449044
2020;"Talca - Maule";3841,20272833091
2020;"Temuco";3935,49791766689
2020;"Valdivia";4368,35386598096
2020;"Valparaíso Metropolitano";3810,44950172778
