"agno";"city";"AVPP"
2009;"Antofagasta";5392,05316143805
2009;"Arica";4783,23136326142
2009;"Chillán";5140,50893686165
2009;"Copiapo";5429,2876248092
2009;"Coyhaique";5772,16130830701
2009;"Gran Concepcion";4955,34715072295
2009;"Gran Coquimbo";4504,00004286717
2009;"Gran Santiago";4341,98725233215
2009;"Iquique - Alto Hospicio";5128,30503323541
2009;"Puerto Montt - Varas";5704,53982633147
2009;"Punta Arenas";5300,80002661211
2009;"Rancagua - Machalí";5470,78427353542
2009;"Talca - Maule";5138,15814455869
2009;"Temuco";4759,31946977692
2009;"Valdivia";5403,13531020488
2009;"Valparaíso Metropolitano";4581,80608430061
