"agno";"city";"AVPP"
2016;"Antofagasta";4836,90574141995
2016;"Arica";4938,71866295265
2016;"Chillán";4577,35269284538
2016;"Copiapo";4066,34942916567
2016;"Coyhaique";3636,84629678789
2016;"Gran Concepcion";4093,04522478057
2016;"Gran Coquimbo";3955,32773737621
2016;"Gran Santiago";3899,84200179983
2016;"Iquique - Alto Hospicio";4179,76740502597
2016;"Puerto Montt - Varas";4447,70711640147
2016;"Punta Arenas";4681,5261362735
2016;"Rancagua - Machalí";4224,13283594024
2016;"Talca - Maule";4169,61942885599
2016;"Temuco";4238,51440974316
2016;"Valdivia";4092,3921944091
2016;"Valparaíso Metropolitano";3905,50532270278
