"agno";"city";"AVPP"
2015;"Antofagasta";4552,97309851416
2015;"Arica";4784,76083233631
2015;"Chillán";4980,11159796867
2015;"Copiapo";4325,61374316709
2015;"Coyhaique";3712,5982851247
2015;"Gran Concepcion";4323,54828535071
2015;"Gran Coquimbo";4091,96983005268
2015;"Gran Santiago";4059,28024368351
2015;"Iquique - Alto Hospicio";4396,61149592569
2015;"Puerto Montt - Varas";4381,06701041941
2015;"Punta Arenas";4648,52426532863
2015;"Rancagua - Machalí";4613,99329295972
2015;"Talca - Maule";4447,31894529126
2015;"Temuco";4703,58475826751
2015;"Valdivia";4434,50527947548
2015;"Valparaíso Metropolitano";4209,37600976555
