"agno";"city";"AVPP"
2004;"Antofagasta";5187,51825822418
2004;"Arica";5005,2929288609
2004;"Chillán";5667,62041907455
2004;"Copiapo";4949,16020185283
2004;"Coyhaique";5309,99470764647
2004;"Gran Concepcion";4243,36173835043
2004;"Gran Coquimbo";4384,10261739686
2004;"Gran Santiago";4502,05278031684
2004;"Iquique - Alto Hospicio";4528,04959581839
2004;"Puerto Montt - Varas";5564,25622827346
2004;"Punta Arenas";5804,40127121185
2004;"Rancagua - Machalí";5641,51248283106
2004;"Talca - Maule";8913,3889372705
2004;"Temuco";4831,36029305812
2004;"Valdivia";5261,8990672088
2004;"Valparaíso Metropolitano";4900,06264931523
