"agno";"city";"AVPP"
2007;"Antofagasta";5837,5349420868
2007;"Arica";4452,46690734055
2007;"Chillán";5419,78185405646
2007;"Copiapo";4714,18794798833
2007;"Coyhaique";4474,77834943899
2007;"Gran Concepcion";4901,64382880306
2007;"Gran Coquimbo";4719,86047525616
2007;"Gran Santiago";4424,79579893246
2007;"Iquique - Alto Hospicio";4874,95218640385
2007;"Puerto Montt - Varas";6199,35357024579
2007;"Punta Arenas";6225,87442056469
2007;"Rancagua - Machalí";5271,69315572604
2007;"Talca - Maule";4393,87570259108
2007;"Temuco";5018,5254892689
2007;"Valdivia";5214,05575724365
2007;"Valparaíso Metropolitano";4692,0257657926
