"agno";"city";"AVPP"
2013;"Antofagasta";4832,83671211385
2013;"Arica";5186,33674482878
2013;"Chillán";4331,96180420775
2013;"Copiapo";4597,13592716882
2013;"Coyhaique";5030,94861091118
2013;"Gran Concepcion";4488,54281950512
2013;"Gran Coquimbo";4489,68661864565
2013;"Gran Santiago";4065,12810600899
2013;"Iquique - Alto Hospicio";4584,08990177716
2013;"Puerto Montt - Varas";5235,22804691672
2013;"Punta Arenas";4756,16074608983
2013;"Rancagua - Machalí";4655,28675643724
2013;"Talca - Maule";3943,50557794545
2013;"Temuco";4248,84941698893
2013;"Valdivia";4553,17966513515
2013;"Valparaíso Metropolitano";4343,82756427935
