"agno";"city";"AVPP"
2008;"Antofagasta";5583,6521178771
2008;"Arica";4915,21862781772
2008;"Chillán";5470,81694999488
2008;"Copiapo";5056,67452629187
2008;"Coyhaique";5792,39079379991
2008;"Gran Concepcion";4793,18909967961
2008;"Gran Coquimbo";4444,5296096665
2008;"Gran Santiago";4314,03105715352
2008;"Iquique - Alto Hospicio";5494,96928216215
2008;"Puerto Montt - Varas";5781,33756580858
2008;"Punta Arenas";5980,20829844948
2008;"Rancagua - Machalí";5996,54526358716
2008;"Talca - Maule";5060,41617656494
2008;"Temuco";4947,13363237541
2008;"Valdivia";5279,29871698318
2008;"Valparaíso Metropolitano";4750,12022607263
