"city","AVPP"
"Iquique - Alto Hospicio",4584.08990177716
"Puerto Montt - Varas",5235.22804691672
"Punta Arenas",4756.16074608983
"Rancagua - Machalí",4655.28675643724
"Talca - Maule",3943.50557794545
"Temuco",4248.84941698893
"Valdivia",4553.17966513515
"Valparaíso Metropolitano",4343.82756427935
"Antofagasta",4798.19557005544
"Arica",4705.53067112056
"Chillán",4294.54521229037
"Copiapo",4431.60176003152
"Coyhaique",4596.9198848087
"Gran Concepcion",4398.21388780874
"Gran Coquimbo",4082.97757200409
"Gran Santiago",4117.88158920321
"Iquique - Alto Hospicio",4860.13373945314
"Puerto Montt - Varas",4789.29838534502
"Punta Arenas",4905.73932074379
"Rancagua - Machalí",4834.21774279711
"Talca - Maule",3923.50002364029
"Temuco",4387.78189456487
"Valdivia",4551.21963718356
"Valparaíso Metropolitano",4028.57456266829
"Antofagasta",4552.97309851416
"Arica",4784.76083233631
"Chillán",4980.11159796867
"Copiapo",4325.61374316709
"Coyhaique",3712.5982851247
"Gran Concepcion",4323.54828535071
"Gran Coquimbo",4091.96983005268
"Gran Santiago",4059.28024368351
"Iquique - Alto Hospicio",4396.61149592569
"Puerto Montt - Varas",4381.06701041941
"Punta Arenas",4648.52426532863
"Rancagua - Machalí",4613.99329295972
"Talca - Maule",4447.31894529126
"Temuco",4703.58475826751
"Valdivia",4434.50527947548
"Valparaíso Metropolitano",4209.37600976555
"Antofagasta",4836.90574141995
"Arica",4938.71866295265
"Chillán",4577.35269284538
"Copiapo",4066.34942916567
"Coyhaique",3636.84629678789
"Gran Concepcion",4093.04522478057
"Gran Coquimbo",3955.32773737621
"Gran Santiago",3899.84200179983
"Iquique - Alto Hospicio",4179.76740502597
"Puerto Montt - Varas",4447.70711640147
"Punta Arenas",4681.5261362735
"Rancagua - Machalí",4224.13283594024
"Talca - Maule",4169.61942885599
"Temuco",4238.51440974316
"Valdivia",4092.3921944091
"Valparaíso Metropolitano",3905.50532270278
"Antofagasta",4488.09660850642
"Arica",4204.78172863759
"Chillán",4410.35474592522
"Copiapo",3824.1772273119
"Coyhaique",4173.63445932863
"Gran Concepcion",3871.14537444934
"Gran Coquimbo",3631.15037684096
"Gran Santiago",3751.78838564111
"Iquique - Alto Hospicio",3661.56446862742
"Puerto Montt - Varas",4102.13406217216
"Punta Arenas",4019.25845507541
"Rancagua - Machalí",4127.83275911767
"Talca - Maule",3864.1924959217
"Temuco",3949.08197664975
"Valdivia",4524.66636677163
"Valparaíso Metropolitano",3912.47138198782
"Antofagasta",4226.24259627162
"Arica",4454.14532398084
"Chillán",4149.63686836094
"Copiapo",3863.01836558299
"Coyhaique",3558.28865762641
"Gran Concepcion",3790.95096646433
"Gran Coquimbo",3538.398877275
"Gran Santiago",3681.85057204195
"Iquique - Alto Hospicio",4114.32210811241
"Puerto Montt - Varas",3821.76456758111
"Punta Arenas",4159.05042663908
"Rancagua - Machalí",4706.07365350804
"Talca - Maule",4234.62472258218
"Temuco",3811.16496750224
"Valdivia",3697.18309859155
"Valparaíso Metropolitano",4018.32525134351
"Antofagasta",3935.9851677919
"Arica",4290.07478476741
"Chillán",4286.3301098737
"Copiapo",3382.08808261094
"Coyhaique",4496.47813655067
"Gran Concepcion",3518.73906932329
"Gran Coquimbo",3300.24706341294
"Gran Santiago",3660.95452785133
"Iquique - Alto Hospicio",4151.72303862966
"Puerto Montt - Varas",4296.62388890572
"Punta Arenas",4740.02121021164
"Rancagua - Machalí",4453.19346789138
"Talca - Maule",3988.40724510449
"Temuco",4370.31791793817
"Valdivia",4333.97107404969
"Valparaíso Metropolitano",3932.94620689356
"Antofagasta",3947.46860470543
"Arica",4518.99782002886
"Chillán",4343.83366023773
"Copiapo",3480.34415436444
"Coyhaique",4573.85870508592
"Gran Concepcion",3828.8562962012
"Gran Coquimbo",3563.41147962597
"Gran Santiago",3964.32720521082
"Iquique - Alto Hospicio",3872.3599225528
"Puerto Montt - Varas",3842.76367651999
"Punta Arenas",4277.41273880512
"Rancagua - Machalí",4515.09272449044
"Talca - Maule",3841.20272833091
"Temuco",3935.49791766689
"Valdivia",4368.35386598096
"Valparaíso Metropolitano",3810.44950172778
