"agno";"city";"AVPP"
2019;"Antofagasta";3935,9851677919
2019;"Arica";4290,07478476741
2019;"Chillán";4286,3301098737
2019;"Copiapo";3382,08808261094
2019;"Coyhaique";4496,47813655067
2019;"Gran Concepcion";3518,73906932329
2019;"Gran Coquimbo";3300,24706341294
2019;"Gran Santiago";3660,95452785133
2019;"Iquique - Alto Hospicio";4151,72303862966
2019;"Puerto Montt - Varas";4296,62388890572
2019;"Punta Arenas";4740,02121021164
2019;"Rancagua - Machalí";4453,19346789138
2019;"Talca - Maule";3988,40724510449
2019;"Temuco";4370,31791793817
2019;"Valdivia";4333,97107404969
2019;"Valparaíso Metropolitano";3932,94620689356
