"codcomuna","dato"
1101,89.61
1107,71.27
2101,101.42
3101,60.7
4101,69.39
4102,57.29
5101,76.82
5103,59.46
5109,65.2
5801,67.12
5804,63.25
6101,85.53
6108,62.12
7101,68.16
7105,50.92
8101,79.01
8102,72.29
8103,74.86
8106,95.53
8107,90.74
8108,58.95
8110,90.6
8111,66.57
8112,77.74
9101,80.56
9112,67.59
10101,67.06
10109,45.65
11101,64.03
12101,75.73
13101,62.98
13102,64.81
13103,84.08
13104,93.16
13105,90.66
13106,79.49
13107,72.34
13108,118.31
13109,99.05
13110,69.76
13111,81.94
13112,93.57
13113,40.6
13114,38.31
13115,38.12
13116,88.43
13117,76.83
13118,60.29
13119,62.55
13120,52.06
13121,81.67
13122,73.77
13123,49.37
13124,68.1
13125,78.1
13126,95.4
13127,95.99
13128,88.66
13129,88.31
13130,82.12
13131,100.67
13132,30.13
13201,78.49
13401,86.78
14101,70.9
15101,56.72
16101,75.39
16102,115.18
16103,95.51
16301,102.97
16305,33.33
