"codcomuna","dato"
1101,79.85
1107,62.13
2101,87.95
3101,74.21
4101,67.1
4102,72.84
5101,99.35
5103,67.64
5109,72.25
5801,61.42
5804,84.53
6101,81.23
6108,71.27
7101,76.45
7105,33.67
8101,78.85
8102,75.65
8103,79.03
8106,101.28
8107,76.66
8108,57.48
8110,84.71
8111,82.88
8112,74.95
9101,72.08
9112,92.17
10101,98.25
10109,58.53
11101,80.93
12101,104.67
13101,74.13
13102,75.89
13103,83.63
13104,75.52
13105,77.07
13106,89.51
13107,61.51
13108,106.56
13109,59.89
13110,67.79
13111,65.38
13112,83.11
13113,48.13
13114,43.43
13115,36.1
13116,82.62
13117,54.16
13118,59.35
13119,58.17
13120,55.99
13121,80.83
13122,68.4
13123,60.77
13124,85.92
13125,73.64
13126,68.73
13127,71.69
13128,97.09
13129,61.51
13130,82.62
13131,77.84
13132,28.52
13201,67.29
13401,83.49
14101,72.01
15101,76.55
16101,89.67
16102,104.45
16103,65.81
16301,91.31
16305,100.63
