"codcomuna","dato"
1101,101.05
1107,3.68
2101,87.94
3101,77.89
4101,67.78
4102,70.15
5101,102.4
5103,49.63
5109,72.61
5801,92.52
5804,74.16
6101,82.3
6108,73.9
7101,157.41
7105,68.93
8101,92.75
8102,106.14
8103,72.39
8106,111.64
8107,114.39
8108,78.93
8110,29.76
8111,82.08
8112,27.81
9101,81.53
9112,67.58
10101,74.67
10109,62.59
11101,79.12
12101,107.88
13101,72.43
13102,84.33
13103,80.57
13104,77.64
13105,83.42
13106,97.5
13107,70.74
13108,138.2
13109,58.77
13110,72.59
13111,83.5
13112,96.54
13113,56.86
13114,46.54
13115,63.41
13116,93.39
13117,82.49
13118,52.58
13119,62.39
13120,53.28
13121,64.28
13122,75.82
13123,61.19
13124,75.12
13125,75.18
13126,88.85
13127,95.99
13128,90.89
13129,73.97
13130,83.5
13131,74.2
13132,38.45
13201,81.46
13401,91.86
14101,87.73
15101,70.4
16101,83.31
16102,102.42
16103,18.58
16301,101.24
16305,111.84
