"codcomuna","dato"
1101,72.95
1107,57.05
2101,85.92
3101,74.5
4101,55.29
4102,75.08
5101,82.44
5103,44.57
5109,61.97
5801,56.16
5804,62.51
6101,78.19
6108,47.25
7101,66.21
7105,52.2
8101,74.02
8102,71.12
8103,64.92
8106,79.9
8107,68.4
8108,64.3
8110,84.88
8111,76.56
8112,86.65
9101,61.8
9112,96.69
10101,70.8
10109,52.45
11101,52.58
12101,81.28
13101,65.17
13102,65.67
13103,88.92
13104,79.14
13105,90.14
13106,65.82
13107,89.86
13108,111.73
13109,75.65
13110,53.28
13111,63.66
13112,96.37
13113,22.76
13114,31.65
13115,23.05
13116,92.79
13117,92.23
13118,51.48
13119,50.85
13120,41.12
13121,87.88
13122,56.67
13123,48.75
13124,69.12
13125,73.26
13126,69.05
13127,84.85
13128,82.49
13129,76.98
13130,97.35
13131,84.16
13132,28.37
13201,64.67
13401,81.01
14101,56.4
15101,69.75
16101,75.2
16102,64.46
16103,69.97
16301,76.27
16305,45.52
