"codcomuna","dato"
1101,64.03
1107,56.64
2101,99.97
3101,65.16
4101,70.26
4102,66.5
5101,98.5
5103,61.29
5109,69.65
5801,81.55
5804,71.67
6101,84.61
6108,68.58
7101,76.11
7105,74.29
8101,77.1
8102,73.72
8103,80.85
8106,149.36
8107,52.93
8108,78.2
8110,85.27
8111,72.31
8112,94.5
9101,75.08
9112,70.82
10101,82.33
10109,88.43
11101,67.09
12101,96.13
13101,71.04
13102,59.69
13103,104.38
13104,70.17
13105,76.37
13106,96.45
13107,74.59
13108,114.55
13109,91.86
13110,63.93
13111,70.16
13112,76.57
13113,55.44
13114,38.08
13115,46.68
13116,83.13
13117,84.85
13118,46.35
13119,63.76
13120,55.66
13121,65.63
13122,75.87
13123,57.93
13124,69.31
13125,67.63
13126,87.32
13127,92.47
13128,85.66
13129,79.82
13130,90.07
13131,96.33
13132,38.12
13201,71.65
13401,84.54
14101,75.74
15101,59.34
16101,82.47
16102,75.45
16103,65
16301,83.81
16305,37.49
