"codcomuna","dato"
1101,77.29
1107,60.05
2101,82.85
3101,72.23
4101,62.18
4102,68.68
5101,77.75
5103,62.3
5109,63.51
5801,60.27
5804,55.22
6101,73.69
6108,60.02
7101,66.85
7105,45.7
8101,64.8
8102,63.47
8103,65.28
8106,90.68
8107,61.1
8108,67.99
8110,76.87
8111,85.84
8112,84
9101,80.82
9112,78.19
10101,68.68
10109,58.74
11101,70.88
12101,82.44
13101,59.14
13102,67.34
13103,95.2
13104,79.31
13105,84.62
13106,76.03
13107,72.88
13108,89.75
13109,100.96
13110,60.87
13111,77.42
13112,89.04
13113,43.18
13114,35.7
13115,33.91
13116,92.44
13117,77.92
13118,57.89
13119,51.88
13120,41.43
13121,97.03
13122,73.05
13123,63.23
13124,68.48
13125,67.81
13126,88.26
13127,110.18
13128,100.22
13129,72.22
13130,87.43
13131,72.93
13132,36.01
13201,78.56
13401,77.23
14101,79.29
15101,72.65
16101,78.78
16102,102.57
16103,60.89
16301,84.4
16305,65.88
