"codcomuna","dato"
1101,76.5
1107,43.59
2101,92.72
3101,66.79
4101,60.09
4102,50.94
5101,90.24
5103,57.03
5109,70.19
5801,68.33
5804,69.06
6101,87.04
6108,63.32
7101,77.94
7105,77.79
8101,77.07
8102,63.96
8103,79.34
8106,65.88
8107,69.16
8108,69.67
8110,83.7
8111,54.41
8112,76.49
9101,81.1
9112,59.85
10101,86.46
10109,62.18
11101,87.32
12101,105.76
13101,67.32
13102,65.43
13103,94.58
13104,71.57
13105,79.26
13106,97.89
13107,88.32
13108,117.01
13109,76.73
13110,59.34
13111,72.39
13112,92.27
13113,56.86
13114,42.64
13115,50.63
13116,83.65
13117,70.84
13118,55.57
13119,56.71
13120,54.6
13121,76.49
13122,79.04
13123,54.65
13124,79.67
13125,73.84
13126,92.09
13127,78.87
13128,86.45
13129,64.91
13130,80.74
13131,80.78
13132,42.21
13201,62.84
13401,85.83
14101,88.79
15101,64.49
16101,86.27
16102,108.01
16103,64.43
16301,85.68
16305,88.52
