"codcomuna","dato"
1101,79.9
1107,57.14
2101,86.8
3101,79.04
4101,60.88
4102,54.69
5101,93.67
5103,48.02
5109,66.11
5801,72.99
5804,64.26
6101,81.45
6108,51.06
7101,88.94
7105,44.51
8101,85.89
8102,82.7
8103,70.7
8106,101.94
8107,75.56
8108,62.25
8110,92.69
8111,62.4
8112,68.4
9101,72.69
9112,57.23
10101,86.04
10109,54.55
11101,80.17
12101,91.2
13101,65.36
13102,71.5
13103,95.11
13104,81.33
13105,81.73
13106,88.15
13107,78.6
13108,129.36
13109,77.24
13110,65.49
13111,63.85
13112,79.89
13113,46.86
13114,44.7
13115,31.05
13116,94.07
13117,68.56
13118,55.4
13119,65.83
13120,44.9
13121,80.28
13122,81.44
13123,54.56
13124,74.15
13125,77.59
13126,95.83
13127,84.81
13128,88.34
13129,89.39
13130,66.76
13131,108.76
13132,31.59
13201,75.97
13401,72.67
14101,93.31
15101,61.55
16101,84.63
16102,73.8
16103,63.61
16301,70.64
16305,82.67
