"agno";"comuna";"nom_com";"city";"AVPP"
2005;1101;"Iquique";"Iquique - Alto Hospicio";5152,9178685573
2005;1107;"Alto Hospicio";"Iquique - Alto Hospicio";3186,08157329455
2005;2101;"Antofagasta";"Antofagasta";4752,78378753895
2005;3101;"Copiapó";"Copiapo";4482,99400486734
2005;4101;"La Serena";"Gran Coquimbo";3833,46879159452
2005;4102;"Coquimbo";"Gran Coquimbo";4478,10130805425
2005;5101;"Valparaíso";"Valparaíso Metropolitano";4905,70094947855
2005;5103;"Concón";"Valparaíso Metropolitano";3173,10527867886
2005;5109;"Viña del Mar";"Valparaíso Metropolitano";4389,83180481293
2005;5801;"Quilpué";"Valparaíso Metropolitano";3927,33081074375
2005;5804;"Villa Alemana";"Valparaíso Metropolitano";3741,29695595855
2005;6101;"Rancagua";"Rancagua - Machalí";6089,99385502479
2005;6108;"Machalí";"Rancagua - Machalí";4557,36450083905
2005;7101;"Talca";"Talca - Maule";4896,82344250185
2005;7105;"Maule";"Talca - Maule";3260,91845454954
2005;8101;"Concepción";"Gran Concepcion";4580,02476192249
2005;8102;"Coronel";"Gran Concepcion";4508,92059774951
2005;8103;"Chiguayante";"Gran Concepcion";3858,20986898494
2005;8106;"Lota";"Gran Concepcion";6049,62364092556
2005;8107;"Penco";"Gran Concepcion";5318,40294517246
2005;8108;"San Pedro de la Paz";"Gran Concepcion";4232,11498089035
2005;8110;"Talcahuano";"Gran Concepcion";4934,26930440332
2005;8111;"Tomé";"Gran Concepcion";4837,8686340022
2005;8112;"Hualpén";"Gran Concepcion";4579,68323954284
2005;9101;"Temuco";"Temuco";4435,12955090603
2005;9112;"Padre Las Casas";"Temuco";4802,23285486443
2005;10101;"Puerto Montt";"Puerto Montt - Varas";6554,33928283286
2005;10109;"Puerto Varas";"Puerto Montt - Varas";4016,35332392825
2005;11101;"Coihaique";"Coyhaique";3976,83248101658
2005;12101;"Punta Arenas";"Punta Arenas";5433,25407174452
2005;13101;"Santiago";"Gran Santiago";4073,33553535675
2005;13102;"Cerrillos";"Gran Santiago";5121,97132025713
2005;13103;"Cerro Navia";"Gran Santiago";5573,66317050409
2005;13104;"Conchalí";"Gran Santiago";4803,48684110961
2005;13105;"El Bosque";"Gran Santiago";4907,13541727621
2005;13106;"Estación Central";"Gran Santiago";5578,75162275008
2005;13107;"Huechuraba";"Gran Santiago";3997,99473618248
2005;13108;"Independencia";"Gran Santiago";6602,72749528377
2005;13109;"La Cisterna";"Gran Santiago";3530,56281395044
2005;13110;"La Florida";"Gran Santiago";3813,74490743164
2005;13111;"La Granja";"Gran Santiago";4726,2865003439
2005;13112;"La Pintana";"Gran Santiago";5108,99002051016
2005;13113;"La Reina";"Gran Santiago";3061,91514734795
2005;13114;"Las Condes";"Gran Santiago";2862,72602095924
2005;13115;"Lo Barnechea";"Gran Santiago";2638,78822127492
2005;13116;"Lo Espejo";"Gran Santiago";5053,66890134447
2005;13117;"Lo Prado";"Gran Santiago";4117,54389383635
2005;13118;"Macul";"Gran Santiago";4109,77975367309
2005;13119;"Maipú";"Gran Santiago";3351,54804515277
2005;13120;"Ñuñoa";"Gran Santiago";2875,83971787963
2005;13121;"Pedro Aguirre Cerda";"Gran Santiago";5500,15964968298
2005;13122;"Peñalolén";"Gran Santiago";4769,31029058139
2005;13123;"Providencia";"Gran Santiago";3980,52562773295
2005;13124;"Pudahuel";"Gran Santiago";4551,36604781045
2005;13125;"Quilicura";"Gran Santiago";4594,2068588605
2005;13126;"Quinta Normal";"Gran Santiago";5307,41445605313
2005;13127;"Recoleta";"Gran Santiago";5060,11679835108
2005;13128;"Renca";"Gran Santiago";5409,82768318249
2005;13129;"San Joaquín";"Gran Santiago";5114,70871954033
2005;13130;"San Miguel";"Gran Santiago";4513,07009181677
2005;13131;"San Ramón";"Gran Santiago";4724,41794006319
2005;13132;"Vitacura";"Gran Santiago";2504,97423600837
2005;13201;"Puente Alto";"Gran Santiago";3845,46051904704
2005;13401;"San Bernardo";"Gran Santiago";4750,48703731455
2005;14101;"Valdivia";"Valdivia";4495,34567513858
2005;15101;"Arica";"Arica";4552,29017738946
2005;16101;"Chillán";"Chillán";4660,92455298735
2005;16102;"Bulnes";"Chillán";6394,16637730046
2005;16103;"Chillán Viejo";"Chillán";3447,11193620522
2005;16301;"San Carlos";"Chillán";6375,03823799327
2005;16305;"San Nicolás";"Chillán";8604,55655004068
